year,month,taxa,species_portuguese,species_english,species_sci,production_kg
2000,3,Teleósteos,Linguado-areia,Flatfish,NA,58006
2000,3,Teleósteos,Linguado-vermelho,Linguado-vermelho,NA,2096
2000,3,Teleósteos,Maria-mole,Maria-mole,Cynoscion guatucupa,74712
2000,3,Teleósteos,Meca,Meca,NA,9525
2000,3,Teleósteos,Merluza,Hake,Merluccius hubbsi,10870
2000,3,Teleósteos,Namorado,Namorado,Pseudopercis spp.,473
2000,3,Teleósteos,Palombeta,Leerfish,Chloroscombrus chrysurus,3663
2000,3,Teleósteos,Pampo,Pampo,Trachinotus spp.,100
2000,3,Teleósteos,Pargo-rosa,Common sea bream,Pagrus pagrus,2230
2000,3,Teleósteos,Paru,Paru,NA,60
2000,3,Teleósteos,Peixe-lua,Ocean sunfish,Mola mola,19
2000,3,Teleósteos,Peixe-porco,Angular roughshark,Oxynotus centrina,38044
2000,3,Teleósteos,Peixe-sapo,Anglerfish,Lophius gastrophysus,40929
2000,3,Teleósteos,Pescada,Weakfish,Cynoscion spp.,34435
2000,3,Teleósteos,Pescada-amarela,Acoupa weakfish,Cynoscion acoupa,31
2000,3,Teleósteos,Pescada-bicuda,Pescada-bicuda,NA,1000
2000,3,Teleósteos,Pescada-branca,Weakfish,Cynoscion leiarchus,2974
2000,3,Teleósteos,Pescada-cambucu,Weakfish,NA,1400
2000,3,Teleósteos,Pescadinha-real,Bangamary,Macrodon ancylodon,59399
2000,3,Teleósteos,Prego,Prego,NA,374
2000,3,Teleósteos,Robalo,Snook,Centropomus spp.,1100
2000,3,Teleósteos,Sardinha-lage,Atlantic thread herring,Opisthonema oglinum,257177
2000,3,Teleósteos,Sardinha-verdadeira,Brazilian sardinella,Sardinella brasiliensis,1492738
2000,3,Teleósteos,Serrinha,Atlantic spanish mackerel,Scomberomorus maculatus,70
2000,3,Teleósteos,Sororoca,Sororoca,Scomberomorus,116
2000,3,Teleósteos,Tainha,Mullet,Mugil spp.,14882
2000,3,Teleósteos,Tira-vira,Brazilian flathead,Percophis brasiliensis,3680
2000,3,Teleósteos,Trilha,Argentine goatfish,Mullus argentinae,6160
2000,4,Crustáceos,Camarão-cristalino,Shrimp,NA,38498
2000,4,Crustáceos,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,315
