year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
1998,2,Peixe Ósseo,Espada,Broadbill,Xiphias gladius,3706,2.3
1998,2,Peixe Ósseo,Espadarte,Swordfish,Xiphias gladius,84313,0
1998,2,Peixe Ósseo,Galo,American John Dory,Zenopsis conchifer,440,0
1998,2,Peixe Ósseo,Garoupa,Deady,Epinephelus spp.,716,1211
1998,2,Peixe Ósseo,Goete,Jamaica weakfish,Cynoscion jamaicensis,132600,34
1998,2,Peixe Ósseo,Guaivira,Jack,Oligoplites spp.,4911,2128.1
1998,2,Peixe Ósseo,Linguado,Flatfish,Paralichthys spp.,16215,0
1998,2,Peixe Ósseo,Manjuba-de-iguape,anchovy,NA,41558,0
1998,2,Peixe Ósseo,Mistura,Mistura,NA,176144,877.81
1998,2,Peixe Ósseo,Namorado,Namorado,Pseudopercis spp.,11752,0
1998,2,Peixe Ósseo,Olhete,Amberjack,Seriola lalandi,295,0
1998,2,Peixe Ósseo,Olho-de-boi,Amberjack,NA,35,0
1998,2,Peixe Ósseo,Oveva,Cabezon,Larimus breviceps,17,5.1
1998,2,Peixe Ósseo,Parati,Mullet,NA,1941,984.9
1998,2,Peixe Ósseo,Pargo-rosa,Common sea bream,Pagrus pagrus,3166,0
1998,2,Peixe Ósseo,Paru,Paru,NA,224,202.8
1998,2,Peixe Ósseo,Pescada-amarela,Acoupa weakfish,Cynoscion acoupa,11975,412.8
1998,2,Peixe Ósseo,Pescada-banana,Weakfish,NA,62,0
1998,2,Peixe Ósseo,Pescada-branca,Weakfish,Cynoscion leiarchus,991,40
1998,2,Peixe Ósseo,Pescada-cambucu,Weakfish,NA,3054,88
1998,2,Peixe Ósseo,Pescada-dentão,Weakfish,NA,399,985.17
1998,2,Peixe Ósseo,Pescada-foguete,Weakfish,NA,59548,20692.49
1998,2,Peixe Ósseo,Pescadas agrupadas,Weakfish,NA,235,243
1998,2,Peixe Ósseo,Porco,Porco,NA,37599,0
1998,2,Peixe Ósseo,Prejereba,Atlantic tripletail,Lobotes surinamensis,109,22.5
1998,2,Peixe Ósseo,Robalo-flecha,Robalo-flecha,NA,210,1328
1998,2,Peixe Ósseo,Robalo-peva,Robalo-peva,NA,118,226.5
1998,2,Peixe Ósseo,Sapo,Sapo,NA,213,0
1998,2,Peixe Ósseo,Sargo,Sargo,NA,11,12
1998,2,Peixe Ósseo,Sari-sari,Sari-sari,NA,62,31
1998,2,Peixe Ósseo,Sororoca,Sororoca,Scomberomorus,152,304
1998,2,Peixe Ósseo,Tainha,Mullet,Mugil spp.,17984,2215.9
1998,2,Peixe Ósseo,Tortinha,Bigtooth corvina,Isopisthus parvipinnis,3,4.5
1998,2,Peixe Ósseo,Traíra,Traíra,NA,47,0
1998,2,Peixe Ósseo,Trilha,Argentine goatfish,Mullus argentinae,768,0
1998,3,Crustáceo,Camarão-estuarino,Shrimp,NA,111,377.57
1998,3,Crustáceo,Camarão-legítimo,Shrimp,Litopenaeus schimitti,527,0
1998,3,Crustáceo,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,6663,0
1998,3,Crustáceo,Camarão-sete-barbas,Shrimp,Xiphopenaeus kroyeri,32284,0
1998,3,Crustáceo,Caranguejo-uçá,Crab,NA,518.5,0
1998,3,Crustáceo,Pitú-de-iguape,Crayfish,NA,11,0
1998,3,Crustáceo,Siri-azul,Crab,NA,5415,0
1998,3,Molusco,Lula,Squid,Loligo sanpaulensis,17741,0
1998,3,Molusco,Polvo,Octopus,Octopus spp.,2570,0
1998,3,Peixe Cartilaginoso,Anequim,Beaumaris shark,Lamna nasus,478,0
1998,3,Peixe Cartilaginoso,Cação-anjo,Shark,NA,45853,0
1998,3,Peixe Cartilaginoso,Cação-azul,Blue dog,Prionace glauca,7950,0
1998,3,Peixe Cartilaginoso,Cação-rola-rola,Shark,NA,191,0
1998,3,Peixe Cartilaginoso,Cações agrupados,Shark,NA,70901,4281.83
1998,3,Peixe Cartilaginoso,Cambeva,Bronze hammerhead shark,Sphyrna lewini,2649,0
1998,3,Peixe Cartilaginoso,Machote,Spinner Shark,NA,198,0
1998,3,Peixe Cartilaginoso,Mangona,Mangona,NA,49,147
1998,3,Peixe Cartilaginoso,Raias agrupadas,Ray,NA,2861,67
1998,3,Peixe Cartilaginoso,Viola,Common guitarfish,Rhinobatos rhinobatos,359,44.4
1998,3,Peixe Ósseo,Acará,Acará,NA,5,0
1998,3,Peixe Ósseo,Agulhão-branco,Agulhão-branco,Tetrapturus albidus,610,0
1998,3,Peixe Ósseo,Agulhão-negro,Atlantic blue marlin,Makaira nigricans,1260,0
1998,3,Peixe Ósseo,Agulhão-vela platypterus,Agulhão-vela platypterus,NA,1329,0
1998,3,Peixe Ósseo,Albacora-bandolim,Albacore,Thunnus obesus,1380,0
1998,3,Peixe Ósseo,Albacora-branca,Albacora-branca,Thunnus alalunga,160,0
1998,3,Peixe Ósseo,Albacora-de-laje,Albacore,Thunnus albacares,70,0
1998,3,Peixe Ósseo,Atuns agrupados,Tuna,NA,11792,0
