species_portuguese,sci_name,species_english,
Prejereba,Lobotes surinamensis,Atlantic tripletail,
Robalo,Centropomus spp.,Snook,
Robalo-flecha,,Robalo-flecha,
Robalo-peva,,Robalo-peva,
Roncador,Conodon nobilis,Barred grunt,
Salema,Sarpa salpa,Salema,
Sapo,,Sapo,
Sardinha-bandeira,,Brazilian sardinella,
Sardinha-verdadeira,Sardinella brasiliensis,Brazilian sardinella,
Sargo,,Sargo,
Sari-sari,,Sari-sari,
Sarrão,,Sarrão,
Sororoca,Scomberomorus,Sororoca,
Tainha,Mugil spp.,Mullet,
Tira-vira,Percophis brasiliensis,Brazilian flathead,
Tortinha,Isopisthus parvipinnis,Bigtooth corvina,
Traíra,,Traíra,
Trilha,Mullus argentinae,Argentine goatfish,
Trombeta,,Trombeta,
Ubarana,,Ubarana,
Vermelho,Lutjanus spp.,Snapper,
Xarelete,Caranx latus,Black jack,
Xaréu,Caranx hippos,Black cavalli,
Xaréu-branco,,Jack,
Xixarro,Trachurus lathami,Jack mackerel,
Cação-gato,,Shark,
Mangona,,Mangona,
Raia-ticonha,,Raia-ticonha,
Acará,,Acará,
Agulhão,Scomberesox saurus,Atlantic saury,
Cascudo,Prionotus punctatus,Atlantic searobin,
Corcoroca,Haemulon spp.,Grey Grunt,
Curimbatá,,Curimbatá,
Enchova-preta,Ruvettus pretiosus,Castor oil fish,
Outras espécies,,Outras espécies,
Parambiju,,Parambiju,
Peixe-prego,Macrourus spp.,Peixe-prego,
Piava,,Piava,
Sabão,,Sabão,
Saguá,,Saguá,
Savelha,Brevoortia spp.,Twaite shad,
Sernambiguara,,Sernambiguara,
Tilápia,,Tilapia,
Vento-leste,,Vento-leste,
Pregoaí,,Pregoaí,
Raia-manteiga,,Raia-manteiga,
Agulhão-vela,Istiophorus albicans,Atlantic sailfish,
Albacora-de-laje,Thunnus albacares,Albacore,
Carpa,Cyprinus carpio,Common carp,
Jaguareça,,Jaguareça,
Micholes agrupados,,Micholes agrupados,
Saguaru,,Saguaru,
Tarpão,,Tarpão,
Cação-cola-fina,,Cação-cola-fina,
Água-fria,,Água-fria,
