#,year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
123,2016,11,Peixe Ósseo,Pescada-branca,Weakfish,Cynoscion leiarchus,3525,37924.86
124,2016,11,Peixe Ósseo,Pescada-dentão,Weakfish,NA,333.5,5037.14
125,2016,11,Peixe Ósseo,Pescada-foguete,Weakfish,NA,3874.6,25169.04
126,2016,11,Peixe Ósseo,Pescadas agrupadas,Weakfish,NA,86,428
127,2016,11,Peixe Ósseo,Pirajica,Pirajica,Kyphosus spp.,10,20
128,2016,11,Peixe Ósseo,Prejereba,Atlantic tripletail,Lobotes surinamensis,44,546
129,2016,11,Peixe Ósseo,Robalo,Snook,Centropomus spp.,20,120
130,2016,11,Peixe Ósseo,Robalo-flecha,Snook,NA,463.4,10057.26
131,2016,11,Peixe Ósseo,Robalo-peva,Snook,NA,834,13763.03
132,2016,11,Peixe Ósseo,Sabão,Sabão,NA,100,0
133,2016,11,Peixe Ósseo,Saguá,Saguá,NA,33,209.68
134,2016,11,Peixe Ósseo,Sardinha-verdadeira,Brazilian sardinella,Sardinella brasiliensis,100,400
135,2016,11,Peixe Ósseo,Sargo,Sargo,NA,22,166.76
136,2016,11,Peixe Ósseo,Tainha,Mullet,Mugil spp.,571.2,3083.54
137,2016,11,Peixe Ósseo,Tortinha,Bigtooth corvina,Isopisthus parvipinnis,339,3198
138,2016,11,,,#N/A,#N/A,0,0
139,2016,12,Crustáceo,Camarão-estuarino,Shrimp,NA,812516,2293.56
140,2016,12,Crustáceo,Camarão-ferrinho,Shrimp,NA,20,634
141,2016,12,Crustáceo,Camarão-legítimo,Shrimp,Litopenaeus schimitti,1975.3,90953.63
142,2016,12,Crustáceo,Camarão-santana,Shrimp,Pleoticus muelleri,505.6,3286.4
143,2016,12,Crustáceo,Camarão-sete-barbas,Seabob shrimp,Xiphopenaeus kroyeri,47986.4,456627.7
144,2016,12,Crustáceo,Camarões-rosa,Brown shrimp,NA,36.2,1404
145,2016,12,Crustáceo,Caranguejo-uçá,Crab,NA,19795.839,119932.13
146,2016,12,Crustáceo,Siri-azul,Crab,NA,613.66,9879.14
147,2016,12,Crustáceo,Siri-azul-danae,Siri-azul-danae,NA,124.8,2093.72
148,2016,12,Crustáceo,Siris agrupados,Crab,NA,20,390
149,2016,12,Molusco,Lula,Squid,Loligo sanpaulensis,1,0
150,2016,12,Molusco,Mexilhão,Mussel,Perna perna,50,125
151,2016,12,Molusco,Mexilhão-do-mangue,Mussel,NA,54,388
