year,month,taxa,species_portuguese,species_english,species_sci,production_kg
2014,3,Teleósteos,Oveva,Cabezon,Larimus breviceps,280
2014,3,Teleósteos,Palombeta,Leerfish,Chloroscombrus chrysurus,116406
2014,3,Teleósteos,Pampo,Pampo,Trachinotus spp.,2130
2014,3,Teleósteos,Pargo-rosa,Common sea bream,Pagrus pagrus,440
2014,3,Teleósteos,Paru,Paru,NA,40
2014,3,Teleósteos,Peixe-lua,Ocean sunfish,Mola mola,210
2014,3,Teleósteos,Peixe-porco,Angular roughshark,Oxynotus centrina,59085
2014,3,Teleósteos,Peixe-sapo,Anglerfish,Lophius gastrophysus,20097
2014,3,Teleósteos,Pescada,Weakfish,Cynoscion spp.,43630
2014,3,Teleósteos,Pescada-cambucu,Weakfish,NA,160
2014,3,Teleósteos,Pescadinha-real,Bangamary,Macrodon ancylodon,2720
2014,3,Teleósteos,Pijirica,Pijirica,NA,80
2014,3,Teleósteos,Prego,Prego,NA,4906
2014,3,Teleósteos,Robalo,Snook,Centropomus spp.,104
2014,3,Teleósteos,Roncador,Barred grunt,Conodon nobilis,80
2014,3,Teleósteos,Sardinha-lage,Atlantic thread herring,Opisthonema oglinum,5480
2014,3,Teleósteos,Sardinha-verdadeira,Brazilian sardinella,Sardinella brasiliensis,11902638.58
2014,3,Teleósteos,Sarrão,Sarrão,NA,1310
2014,3,Teleósteos,Tainha,Mullet,Mugil spp.,2840
2014,3,Teleósteos,Tira-vira,Brazilian flathead,Percophis brasiliensis,5892
2014,3,Teleósteos,Trilha,Argentine goatfish,Mullus argentinae,940
2014,3,Teleósteos,Xarelete,Black jack,Caranx latus,87873
2014,3,Teleósteos,Xixarro,Jack mackerel,Trachurus lathami,30770
2014,4,Crustáceos,Camarão-cristalino,Shrimp,NA,99920
2014,4,Crustáceos,Pitú,Pitú,NA,42609
2014,4,Crustáceos,Sapateira,Edible crab,Cancer pagurus,680
2014,4,Elasmobrânquios,Cação-anequim,Shark,NA,700
2014,4,Elasmobrânquios,Cação-anjo,Shark,NA,220
2014,4,Elasmobrânquios,Cação-azul,Blue dog,Prionace glauca,18000
2014,4,Elasmobrânquios,Cação-bagre,Cação-bagre,NA,20
2014,4,Elasmobrânquios,Cação-gato,Shark,NA,400
2014,4,Elasmobrânquios,Cação-martelo,Shark,NA,1000
2014,4,Elasmobrânquios,Cações,Shark,Mustelus spp,9903
2014,4,Elasmobrânquios,Caçonete,Shark,NA,1072
2014,4,Elasmobrânquios,Emplastro,Emplastro,NA,78897
2014,4,Elasmobrânquios,Raia,Ray,NA,3938
2014,4,Moluscos,Lula,Squid,Loligo sanpaulensis,750
2014,4,Moluscos,Polvo,Octopus,Octopus spp.,2403
2014,4,Não Cadastrado,Mistura,Other fish,NA,195151
2014,4,Não Cadastrado,Residuo,Residuo,NA,70561
2014,4,Teleósteos,Abrótea,Brazilian codling,Urophycis brasiliensis,85146
2014,4,Teleósteos,Abrótea-de-fundo,Brazilian codling,NA,237100
2014,4,Teleósteos,Agulhão-branco,Agulhão-branco,Tetrapturus albidus,66
2014,4,Teleósteos,Aipim,Brazilian flathead,Percophis brasiliensis,20
2014,4,Teleósteos,Albacora-bandolim,Albacore,Thunnus obesus,5653
2014,4,Teleósteos,Albacora-branca,Albacora-branca,Thunnus alalunga,48102
2014,4,Teleósteos,Albacora-lage,Albacore,Thunnus albacares,12338.5
2014,4,Teleósteos,Bagre,Couma sea catfish,Sciades couma,7610
2014,4,Teleósteos,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,3300
2014,4,Teleósteos,Betara,Carolina Whiting,Menticirrhus spp.,8415
2014,4,Teleósteos,Bonito-cachorro,Bonito,Auxis thazard,1642.5
2014,4,Teleósteos,Bonito-listrado,Skipjack tuna,Katsuwonus pelamis,1570118.5
2014,4,Teleósteos,Cabra,East Atlantic Red Gurnard,Prionotus spp.,167056
2014,4,Teleósteos,Carapeba,Broad shad,Diapterus auratus,2000
2014,4,Teleósteos,Carapicu,Broad shad,Diapterus auratus,280
2014,4,Teleósteos,Castanha,Argentine croaker,Umbrina canosai,299547
2014,4,Teleósteos,Cavalinha,American mackerel,Scomber japonicus,245837
2014,4,Teleósteos,Congro,Argentine Conger,Conger spp.,12182
2014,4,Teleósteos,Congro-rosa,Australian Rockling,Genypterus brasiliensis,33400
2014,4,Teleósteos,Corcoroca,Grey Grunt,Haemulon spp.,4380
2014,4,Teleósteos,Corvina,Croaker,Micropogonias furnieri,586615
2014,4,Teleósteos,Enchova,Ancho,Pomatomus saltatrix,995
2014,4,Teleósteos,Enguia,Common Eel,Conger orbignyanus,872
2014,4,Teleósteos,Espada,Broadbill,Xiphias gladius,12451
2014,4,Teleósteos,Ferrinho,Ferrinho,NA,0
2014,4,Teleósteos,Galo,American John Dory,Zenopsis conchifer,125363
2014,4,Teleósteos,Galo-de-profundidade,American John Dory,Zenopsis conchifer,2650
2014,4,Teleósteos,Goete,Jamaica weakfish,Cynoscion jamaicensis,27366
2014,4,Teleósteos,Gordinho,Angelfish,Pomacanthus arcuatus,7709
2014,4,Teleósteos,Guaivira,Jack,Oligoplites spp.,3460
2014,4,Teleósteos,Linguado,Flatfish,Paralichthys spp.,64172
2014,4,Teleósteos,Linguado-areia,Flatfish,NA,46438
2014,4,Teleósteos,Linguado-vermelho,Linguado-vermelho,NA,37
2014,4,Teleósteos,Mangangá,Mangangá,NA,1820
2014,4,Teleósteos,Maria-luiza,Maria-luiza,NA,1740
2014,4,Teleósteos,Maria-mole,Maria-mole,Cynoscion guatucupa,203840
2014,4,Teleósteos,Marimbá,Porgy,NA,40
2014,4,Teleósteos,Meca,Meca,NA,6000
2014,4,Teleósteos,Merluza,Hake,Merluccius hubbsi,61098
2014,4,Teleósteos,Miracéu,Stargazer,NA,180
2014,4,Teleósteos,Namorado,Namorado,Pseudopercis spp.,3118
2014,4,Teleósteos,Olho-de-cão,Olho-de-cão,Priacanthus spp.,3720
2014,4,Teleósteos,Oveva,Cabezon,Larimus breviceps,1580
2014,4,Teleósteos,Palombeta,Leerfish,Chloroscombrus chrysurus,359826
2014,4,Teleósteos,Pampo,Pampo,Trachinotus spp.,696
2014,4,Teleósteos,Pargo-rosa,Common sea bream,Pagrus pagrus,496
2014,4,Teleósteos,Paru,Paru,NA,830
2014,4,Teleósteos,Peixe-lua,Ocean sunfish,Mola mola,6890
2014,4,Teleósteos,Peixe-porco,Angular roughshark,Oxynotus centrina,8340
2014,4,Teleósteos,Peixe-sapo,Anglerfish,Lophius gastrophysus,36669
2014,4,Teleósteos,Pescada,Weakfish,Cynoscion spp.,14820
2014,4,Teleósteos,Pescada-amarela,Acoupa weakfish,Cynoscion acoupa,16000
2014,4,Teleósteos,Pescada-branca,Weakfish,Cynoscion leiarchus,240
2014,4,Teleósteos,Pescada-cambucu,Weakfish,NA,2680
2014,4,Teleósteos,Pescadinha-real,Bangamary,Macrodon ancylodon,5520
2014,4,Teleósteos,Prego,Prego,NA,1500
2014,4,Teleósteos,Robalo,Snook,Centropomus spp.,221
2014,4,Teleósteos,Roncador,Barred grunt,Conodon nobilis,2620
2014,4,Teleósteos,Sardinha-lage,Atlantic thread herring,Opisthonema oglinum,254099
2014,4,Teleósteos,Sardinha-verdadeira,Brazilian sardinella,Sardinella brasiliensis,2457601.8
2014,4,Teleósteos,Sarrão,Sarrão,NA,40
2014,4,Teleósteos,Serrinha,Atlantic spanish mackerel,Scomberomorus maculatus,20
2014,4,Teleósteos,Sororoca,Sororoca,Scomberomorus,200
2014,4,Teleósteos,Tira-vira,Brazilian flathead,Percophis brasiliensis,6796
2014,4,Teleósteos,Trilha,Argentine goatfish,Mullus argentinae,1140
2014,4,Teleósteos,Xarelete,Black jack,Caranx latus,450
2014,5,Crustáceos,Camarão-cristalino,Shrimp,NA,58863
2014,5,Crustáceos,Pitú,Pitú,NA,41271
2014,5,Crustáceos,Sapateira,Edible crab,Cancer pagurus,20
2014,5,Elasmobrânquios,Cação-anequim,Shark,NA,2528
2014,5,Elasmobrânquios,Cação-azul,Blue dog,Prionace glauca,67227
2014,5,Elasmobrânquios,Cação-cola-fina,Cação-cola-fina,NA,200
2014,5,Elasmobrânquios,Cação-gato,Shark,NA,360
2014,5,Elasmobrânquios,Cação-martelo,Shark,NA,1029
