year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
2014,1,Peixe Ósseo,Peixe-voador,Flying fish,Hirundichthys affinis,202,297
2014,1,Peixe Ósseo,Pescada-amarela,Acoupa weakfish,Cynoscion acoupa,2118.7,28819.6
2014,1,Peixe Ósseo,Pescada-banana,Weakfish,NA,1500.66,6817.19
2014,1,Peixe Ósseo,Pescada-branca,Weakfish,Cynoscion leiarchus,9803.35,102992.08
2014,1,Peixe Ósseo,Pescada-cambucu,Weakfish,NA,1108.2,13872.48
2014,1,Peixe Ósseo,Pescada-dentão,Weakfish,NA,795.3,6370.3
2014,1,Peixe Ósseo,Pescada-foguete,Weakfish,NA,118393.37,822652.15
2014,1,Peixe Ósseo,Pescadas agrupadas,Weakfish,NA,128.6,263
2014,1,Peixe Ósseo,Pirajica,Pirajica,Kyphosus spp.,971.4,4179.55
2014,1,Peixe Ósseo,Porco,Porco,NA,4427.69,32831.05
2014,1,Peixe Ósseo,Porco-chinelo,Porco-chinelo,NA,1315,8121.5
2014,1,Peixe Ósseo,Porco-peludo,Porco-peludo,NA,349.5,990
2014,1,Peixe Ósseo,Prejereba,Atlantic tripletail,Lobotes surinamensis,704.42,9101.3
2014,1,Peixe Ósseo,Robalo,Snook,Centropomus spp.,2536.7,32714.8
2014,1,Peixe Ósseo,Robalo-flecha,Robalo-flecha,NA,2156.3,55478.1
2014,1,Peixe Ósseo,Robalo-peva,Robalo-peva,NA,7197.1,88648.23
2014,1,Peixe Ósseo,Roncador,Barred grunt,Conodon nobilis,10089.5,21033.42
2014,1,Peixe Ósseo,Salema,Salema,Sarpa salpa,0.5,1
2014,1,Peixe Ósseo,Sapo,Sapo,NA,1716.15,7364.15
2014,1,Peixe Ósseo,Sardinha-bandeira,Brazilian sardinella,NA,68,14
2014,1,Peixe Ósseo,Sardinha-verdadeira,Brazilian sardinella,Sardinella brasiliensis,50,250
2014,1,Peixe Ósseo,Sargo,Sargo,NA,194.9,1326.32
2014,1,Peixe Ósseo,Sari-sari,Sari-sari,NA,1185.09,4006.05
2014,1,Peixe Ósseo,Sarrão,Sarrão,NA,800,2400
2014,1,Peixe Ósseo,Sororoca,Sororoca,Scomberomorus,1267.01,8505.09
2014,1,Peixe Ósseo,Tainha,Mullet,Mugil spp.,25963.8,217182.34
2014,1,Peixe Ósseo,Tira-vira,Brazilian flathead,Percophis brasiliensis,998,2180.36
2014,1,Peixe Ósseo,Tortinha,Bigtooth corvina,Isopisthus parvipinnis,109,76
2014,1,Peixe Ósseo,Traíra,Traíra,NA,45.9,339.6
2014,1,Peixe Ósseo,Trilha,Argentine goatfish,Mullus argentinae,1497,2743.63
2014,1,Peixe Ósseo,Trombeta,Trombeta,NA,30,90
2014,1,Peixe Ósseo,Ubarana,Ubarana,NA,13,26
2014,1,Peixe Ósseo,Vermelho,Snapper,Lutjanus spp.,46.7,483
2014,1,Peixe Ósseo,Xarelete,Black jack,Caranx latus,8.7,44.53
2014,1,Peixe Ósseo,Xaréu,Black cavalli,Caranx hippos,693,3870.5
2014,1,Peixe Ósseo,Xaréu-branco,Jack,NA,149.3,1399.75
2014,1,Peixe Ósseo,Xixarro,Jack mackerel,Trachurus lathami,76,171
2014,1,,,#N/A,#N/A,0,0
2014,2,Crustáceo,Camarão-estuarino,Shrimp,NA,2143.21,51685.77
2014,2,Crustáceo,Camarão-ferrinho,Shrimp,NA,32000,0
2014,2,Crustáceo,Camarão-legítimo,Shrimp,Litopenaeus schimitti,5534.46,131164.6
2014,2,Crustáceo,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,35577.6,1512532.28
2014,2,Crustáceo,Camarão-sete-barbas,Shrimp,Xiphopenaeus kroyeri,75024.17,818551.61
2014,2,Crustáceo,Caranguejo-uçá,Crab,NA,10206.5356,76851.56
2014,2,Crustáceo,Lagosta,Lobster,Panulirus laevicauda,14.9,674.5
2014,2,Crustáceo,Lagostim,Norway lobster,Metanephrops rubellus,2400,18225
2014,2,Crustáceo,Lagostim-de-iguape,Crayfish,NA,114,0
2014,2,Crustáceo,Pitú-de-iguape,Crayfish,NA,435.15,7168.01
2014,2,Crustáceo,Sapateira,Edible crab,Cancer pagurus,188.8,4183.5
2014,2,Crustáceo,Siri-azul,Crab,NA,5728.6,50491.1
2014,2,Crustáceo,Siri-candeia,Crab,NA,309.3,778.6
2014,2,Crustáceo,Siris agrupados,Crab,NA,400,1715.33
2014,2,Molusco,Berbigão,Cockle,Anomalocardia brasiliana,3,0
2014,2,Molusco,Lula,Squid,Loligo sanpaulensis,68905.1,590151.5
2014,2,Molusco,Mexilhão,Mussel,Perna perna,3265.4,28795
2014,2,Molusco,Mexilhão-do-mangue,Mussel,NA,249.2,1298.85
2014,2,Molusco,Ostra,Oyster,Crassostrea spp.,4948.54,17830.33
2014,2,Molusco,Polvo,Octopus,Octopus spp.,52357.6,915786.28
2014,2,Peixe Cartilaginoso,Anequim,Beaumaris shark,Lamna nasus,2772.5,22210.75
2014,2,Peixe Cartilaginoso,Cação-anjo,Shark,NA,3.2,28.8
2014,2,Peixe Cartilaginoso,Cação-azul,Blue dog,Prionace glauca,2446,17977
2014,2,Peixe Cartilaginoso,Cação-galha-preta,Shark,NA,3,34.5
2014,2,Peixe Cartilaginoso,Cação-gato,Shark,NA,40,100
2014,2,Peixe Cartilaginoso,Cação-rola-rola,Shark,NA,365.84,2728.24
2014,2,Peixe Cartilaginoso,Cações agrupados,Shark,NA,7930.87,66601.93
2014,2,Peixe Cartilaginoso,Cambeva,Bronze hammerhead shark,Sphyrna lewini,186.6,2126.38
2014,2,Peixe Cartilaginoso,Machote,Spinner Shark,NA,1301,11279
2014,2,Peixe Cartilaginoso,Mangona,Mangona,NA,58,522
2014,2,Peixe Cartilaginoso,Raia-emplastro,Ray,NA,2739,1883.1
2014,2,Peixe Cartilaginoso,Raia-emplastro-castelnaui,Ray,NA,400,400
2014,2,Peixe Cartilaginoso,Raias agrupadas,Ray,NA,5352.4,7976.87
2014,2,Peixe Cartilaginoso,Raia-ticonha,Raia-ticonha,NA,8,40
2014,2,Peixe Cartilaginoso,Tintureira,Blue shark,Prionace glauca,5.1,25.5
2014,2,Peixe Cartilaginoso,Viola,Common guitarfish,Rhinobatos rhinobatos,111.26,1075.2
2014,2,Peixe Ósseo,Abrótea,Brazilian codling,Urophycis brasiliensis,5112,16221.75
2014,2,Peixe Ósseo,Acará,Acará,NA,9,0
2014,2,Peixe Ósseo,Agulha,Garfish,Hyporhamphus,54,75.6
2014,2,Peixe Ósseo,Agulhão,Atlantic saury,Scomberesox saurus,62.5,860
2014,2,Peixe Ósseo,Atuns agrupados,Tuna,NA,50,850
2014,2,Peixe Ósseo,Badejo,Whiting,Mycteroperca spp.,35.8,228.75
2014,2,Peixe Ósseo,Badejo-mira,Comb grouper,Mycteroperca rubra,33,150.04
2014,2,Peixe Ósseo,Bagre,Couma sea catfish,Sciades couma,1466.6,4096.82
2014,2,Peixe Ósseo,Bagre-africano,African catfish,Clarias gariepinus,12,0
2014,2,Peixe Ósseo,Bagre-amarelo,Gillbacker sea catfish,Sciades parkeri,201,938
2014,2,Peixe Ósseo,Bagre-branco,Catfish,Sciades proops,21193.38,73269.55
