"Taxon.Key","Country","Year","Aquaculture","Capture","Common_Name","MatchGroup"
NA,"Brazil","X2014",NA,0,"Amazonian manatee",NA
NA,"Brazil","X2015",NA,0,"Amazonian manatee",NA
NA,"Brazil","X2016",NA,0,"Amazonian manatee",NA
500928,"Brazil","X2010",NA,839,"Amberjacks nei","Amberjack"
500928,"Brazil","X2011",NA,131,"Amberjacks nei","Amberjack"
500928,"Brazil","X2012",NA,143,"Amberjacks nei","Amberjack"
500928,"Brazil","X2013",NA,123,"Amberjacks nei","Amberjack"
500928,"Brazil","X2014",NA,149,"Amberjacks nei","Amberjack"
500928,"Brazil","X2015",NA,134,"Amberjacks nei","Amberjack"
500928,"Brazil","X2016",NA,134,"Amberjacks nei","Amberjack"
NA,"Brazil","X2010",600,NA,"American bull frog","Marine Animals"
NA,"Brazil","X2011",600,NA,"American bull frog","Marine Animals"
NA,"Brazil","X2012",600,NA,"American bull frog","Marine Animals"
NA,"Brazil","X2013",400,NA,"American bull frog","Marine Animals"
NA,"Brazil","X2014",300,NA,"American bull frog","Marine Animals"
NA,"Brazil","X2015",300,NA,"American bull frog","Marine Animals"
NA,"Brazil","X2016",300,NA,"American bull frog","Marine Animals"
628143,"Brazil","X2010",NA,0,"American harvestfish","Marine Fishes"
628143,"Brazil","X2011",NA,0,"American harvestfish","Marine Fishes"
628143,"Brazil","X2012",NA,0,"American harvestfish","Marine Fishes"
628143,"Brazil","X2013",NA,0,"American harvestfish","Marine Fishes"
628143,"Brazil","X2014",NA,0,"American harvestfish","Marine Fishes"
628143,"Brazil","X2015",NA,0,"American harvestfish","Marine Fishes"
628143,"Brazil","X2016",NA,0,"American harvestfish","Marine Fishes"
505586,"Brazil","X2010",NA,4627,"Anchovies etc nei","Anchovies Herrings Sardines"
505586,"Brazil","X2011",NA,4306,"Anchovies etc nei","Anchovies Herrings Sardines"
505586,"Brazil","X2012",NA,4686,"Anchovies etc nei","Anchovies Herrings Sardines"
505586,"Brazil","X2013",NA,4044,"Anchovies etc nei","Anchovies Herrings Sardines"
505586,"Brazil","X2014",NA,4882,"Anchovies etc nei","Anchovies Herrings Sardines"
505586,"Brazil","X2015",NA,4400,"Anchovies etc nei","Anchovies Herrings Sardines"
505586,"Brazil","X2016",NA,4400,"Anchovies etc nei","Anchovies Herrings Sardines"
NA,"Brazil","X2010",10,1253,"Arapaima",NA
NA,"Brazil","X2011",2114,1182,"Arapaima",NA
NA,"Brazil","X2012",2581,1191,"Arapaima",NA
NA,"Brazil","X2013",2301,1201,"Arapaima",NA
NA,"Brazil","X2014",11800,1186,"Arapaima",NA
NA,"Brazil","X2015",8400,1140,"Arapaima",NA
NA,"Brazil","X2016",8600,1140,"Arapaima",NA
NA,"Brazil","X2010",NA,1727,"Arawana",NA
NA,"Brazil","X2011",NA,1629,"Arawana",NA
NA,"Brazil","X2012",NA,1642,"Arawana",NA
NA,"Brazil","X2013",NA,1656,"Arawana",NA
NA,"Brazil","X2014",NA,1635,"Arawana",NA
NA,"Brazil","X2015",NA,1570,"Arawana",NA
NA,"Brazil","X2016",NA,1570,"Arawana",NA
600727,"Brazil","X2010",NA,0,"Argentine angelshark","Sharks"
600727,"Brazil","X2011",NA,0,"Argentine angelshark","Sharks"
600727,"Brazil","X2012",NA,0,"Argentine angelshark","Sharks"
600727,"Brazil","X2013",NA,0,"Argentine angelshark","Sharks"
600727,"Brazil","X2014",NA,0,"Argentine angelshark","Sharks"
600727,"Brazil","X2015",NA,0,"Argentine angelshark","Sharks"
600727,"Brazil","X2016",NA,0,"Argentine angelshark","Sharks"
600299,"Brazil","X2010",NA,35,"Argentine conger","Eels"
600299,"Brazil","X2011",NA,113,"Argentine conger","Eels"
600299,"Brazil","X2012",NA,123,"Argentine conger","Eels"
600299,"Brazil","X2013",NA,106,"Argentine conger","Eels"
600299,"Brazil","X2014",NA,128,"Argentine conger","Eels"
600299,"Brazil","X2015",NA,115,"Argentine conger","Eels"
600299,"Brazil","X2016",NA,115,"Argentine conger","Eels"
600413,"Brazil","X2010",NA,12052,"Argentine croaker","Croakers"
600413,"Brazil","X2011",NA,11216,"Argentine croaker","Croakers"
600413,"Brazil","X2012",NA,12204,"Argentine croaker","Croakers"
600413,"Brazil","X2013",NA,10533,"Argentine croaker","Croakers"
600413,"Brazil","X2014",NA,12715,"Argentine croaker","Croakers"
600413,"Brazil","X2015",NA,11400,"Argentine croaker","Croakers"
600413,"Brazil","X2016",NA,11400,"Argentine croaker","Croakers"
600325,"Brazil","X2010",NA,1901,"Argentine hake","Hakes"
600325,"Brazil","X2011",NA,1769,"Argentine hake","Hakes"
600325,"Brazil","X2012",NA,1925,"Argentine hake","Hakes"
600325,"Brazil","X2013",NA,1661,"Argentine hake","Hakes"
600325,"Brazil","X2014",NA,2006,"Argentine hake","Hakes"
600325,"Brazil","X2015",NA,1810,"Argentine hake","Hakes"
600325,"Brazil","X2016",NA,1810,"Argentine hake","Hakes"
690022,"Brazil","X2010",NA,0,"Argentine red shrimp","Shrimps Prawns"
690022,"Brazil","X2011",NA,943,"Argentine red shrimp","Shrimps Prawns"
690022,"Brazil","X2012",NA,1037,"Argentine red shrimp","Shrimps Prawns"
690022,"Brazil","X2013",NA,936,"Argentine red shrimp","Shrimps Prawns"
690022,"Brazil","X2014",NA,944,"Argentine red shrimp","Shrimps Prawns"
690022,"Brazil","X2015",NA,850,"Argentine red shrimp","Shrimps Prawns"
690022,"Brazil","X2016",NA,850,"Argentine red shrimp","Shrimps Prawns"
690024,"Brazil","X2010",NA,0,"Argentine stiletto shrimp","Shrimps Prawns"
690024,"Brazil","X2011",NA,3110,"Argentine stiletto shrimp","Shrimps Prawns"
690024,"Brazil","X2012",NA,3420,"Argentine stiletto shrimp","Shrimps Prawns"
690024,"Brazil","X2013",NA,3087,"Argentine stiletto shrimp","Shrimps Prawns"
690024,"Brazil","X2014",NA,3115,"Argentine stiletto shrimp","Shrimps Prawns"
690024,"Brazil","X2015",NA,2800,"Argentine stiletto shrimp","Shrimps Prawns"
690024,"Brazil","X2016",NA,2800,"Argentine stiletto shrimp","Shrimps Prawns"
650136,"Brazil","X2010",NA,635,"Argentinian sandperch","Marine Fishes"
650136,"Brazil","X2011",NA,591,"Argentinian sandperch","Marine Fishes"
650136,"Brazil","X2012",NA,643,"Argentinian sandperch","Marine Fishes"
650136,"Brazil","X2013",NA,555,"Argentinian sandperch","Marine Fishes"
650136,"Brazil","X2014",NA,670,"Argentinian sandperch","Marine Fishes"
650136,"Brazil","X2015",NA,600,"Argentinian sandperch","Marine Fishes"
650136,"Brazil","X2016",NA,600,"Argentinian sandperch","Marine Fishes"
600147,"Brazil","X2010",NA,0,"Atlantic bluefin tuna","Tunas"
600147,"Brazil","X2011",NA,0,"Atlantic bluefin tuna","Tunas"
600147,"Brazil","X2012",NA,1,"Atlantic bluefin tuna","Tunas"
600147,"Brazil","X2013",NA,0,"Atlantic bluefin tuna","Tunas"
600147,"Brazil","X2014",NA,0,"Atlantic bluefin tuna","Tunas"
600147,"Brazil","X2015",NA,0,"Atlantic bluefin tuna","Tunas"
600147,"Brazil","X2016",NA,0,"Atlantic bluefin tuna","Tunas"
600115,"Brazil","X2010",NA,347,"Atlantic bonito","Tunas"
600115,"Brazil","X2011",NA,323,"Atlantic bonito","Tunas"
600115,"Brazil","X2012",NA,351,"Atlantic bonito","Tunas"
600115,"Brazil","X2013",NA,303,"Atlantic bonito","Tunas"
600115,"Brazil","X2014",NA,366,"Atlantic bonito","Tunas"
600115,"Brazil","X2015",NA,330,"Atlantic bonito","Tunas"
600115,"Brazil","X2016",NA,330,"Atlantic bonito","Tunas"
600385,"Brazil","X2010",NA,2806,"Atlantic bumper","Marine Fishes"
600385,"Brazil","X2011",NA,2612,"Atlantic bumper","Marine Fishes"
600385,"Brazil","X2012",NA,2842,"Atlantic bumper","Marine Fishes"
600385,"Brazil","X2013",NA,2453,"Atlantic bumper","Marine Fishes"
600385,"Brazil","X2014",NA,2961,"Atlantic bumper","Marine Fishes"
600385,"Brazil","X2015",NA,2660,"Atlantic bumper","Marine Fishes"
600385,"Brazil","X2016",NA,2660,"Atlantic bumper","Marine Fishes"
NA,"Brazil","X2010",NA,5059,"Atlantic chub mackerel","Mackerels"
NA,"Brazil","X2011",NA,4708,"Atlantic chub mackerel","Mackerels"
NA,"Brazil","X2012",NA,5123,"Atlantic chub mackerel","Mackerels"
NA,"Brazil","X2013",NA,4421,"Atlantic chub mackerel","Mackerels"
NA,"Brazil","X2014",NA,5337,"Atlantic chub mackerel","Mackerels"
NA,"Brazil","X2015",NA,4815,"Atlantic chub mackerel","Mackerels"
NA,"Brazil","X2016",NA,4815,"Atlantic chub mackerel","Mackerels"
600378,"Brazil","X2010",NA,2046,"Atlantic moonfish","Marine Fishes"
600378,"Brazil","X2011",NA,1904,"Atlantic moonfish","Marine Fishes"
600378,"Brazil","X2012",NA,2072,"Atlantic moonfish","Marine Fishes"
600378,"Brazil","X2013",NA,1788,"Atlantic moonfish","Marine Fishes"
600378,"Brazil","X2014",NA,2158,"Atlantic moonfish","Marine Fishes"
600378,"Brazil","X2015",NA,1940,"Atlantic moonfish","Marine Fishes"
600378,"Brazil","X2016",NA,1940,"Atlantic moonfish","Marine Fishes"
600078,"Brazil","X2010",NA,78,"Atlantic sailfish","Marine Fishes"
600078,"Brazil","X2011",NA,137,"Atlantic sailfish","Marine Fishes"
600078,"Brazil","X2012",NA,108,"Atlantic sailfish","Marine Fishes"
600078,"Brazil","X2013",NA,38,"Atlantic sailfish","Marine Fishes"
600078,"Brazil","X2014",NA,57,"Atlantic sailfish","Marine Fishes"
600078,"Brazil","X2015",NA,51,"Atlantic sailfish","Marine Fishes"
600078,"Brazil","X2016",NA,47,"Atlantic sailfish","Marine Fishes"
690032,"Brazil","X2010",NA,15276,"Atlantic seabob","Marine Fishes"
690032,"Brazil","X2011",NA,15075,"Atlantic seabob","Marine Fishes"
690032,"Brazil","X2012",NA,16577,"Atlantic seabob","Marine Fishes"
690032,"Brazil","X2013",NA,14963,"Atlantic seabob","Marine Fishes"
690032,"Brazil","X2014",NA,15098,"Atlantic seabob","Marine Fishes"
690032,"Brazil","X2015",NA,13520,"Atlantic seabob","Marine Fishes"
690032,"Brazil","X2016",NA,13520,"Atlantic seabob","Marine Fishes"
NA,"Brazil","X2010",NA,5493,"Atlantic searobins","Marine Fishes"
NA,"Brazil","X2011",NA,5112,"Atlantic searobins","Marine Fishes"
NA,"Brazil","X2012",NA,5563,"Atlantic searobins","Marine Fishes"
