"year","common_name","scientific_name","fishing_entity","fishing_sector","Total_tonnes","Landings_Value"
1951,"Sharks, rays, skates","Elasmobranchii","Brazil","Subsistence",5.758288159,18201.948870599
1951,"Skates and rays","Rajiformes","Peru","Subsistence",14.2746373358,11505.3576926316
1951,"Skipjack tuna","Katsuwonus pelamis","Peru","Subsistence",0.7083654618,501.522746936781
1951,"Spiny lobsters","Panulirus","Chile","Subsistence",0.2654255238,630.385618908756
1951,"Swimming crabs","Portunidae","Brazil","Subsistence",12.3115079365,18048.670634909
1951,"Tilefishes","Malacanthidae","Peru","Subsistence",24.0020513834,10080.8615810269
1951,"Warehous, butterfishes","Seriolella","Peru","Subsistence",123.69563556,94874.5524744993
1951,"Weakfishes","Cynoscion","Brazil","Subsistence",56.7047612341,363817.748077986
1951,"Whitemouth croaker","Micropogonias furnieri","Brazil","Subsistence",6.6041511592,35556.7498411328
1951,"Yellowtail amberjack","Seriola lalandi","Chile","Subsistence",5.18765,6157.74055
1952,"Argentine hake","Merluccius hubbsi","Brazil","Subsistence",1.2479981812,1163.1343048784
1952,"Basses, groupers, hinds","Serranidae","Peru","Subsistence",3.3516824759,2135.02173716452
1952,"Black jack","Caranx lugubris","Chile","Subsistence",0.4835343412,242.734239275573
1952,"Bluefish","Pomatomus saltatrix","Brazil","Subsistence",0.0460302126,336.941156232
1952,"Cabinza grunt","Isacia conceptionis","Peru","Subsistence",13.1078427551,3945.46066927773
1952,"Chilean jack mackerel","Trachurus murphyi","Chile","Subsistence",2.2685,998.14
1952,"Chilean jack mackerel","Trachurus murphyi","Peru","Subsistence",0.3098302191,48.643344405467
1952,"Chilean silverside","Odontesthes regia","Peru","Subsistence",52.3829962217,23834.2632808646
1952,"Chub mackerel","Scomber japonicus","Peru","Subsistence",24.7117821279,9884.7128511442
1952,"Cods","Gadiformes","Brazil","Subsistence",1.0355001134,2425.1412655828
1952,"Commercial shrimps and prawns","Penaeidae","Brazil","Subsistence",28.8084597577,125316.799945995
1952,"Common octopus","Octopus vulgaris","Brazil","Subsistence",4.062797619,10762.350892731
1952,"Crabs, lobsters, shrimps","Decapoda","Brazil","Subsistence",9.2336309524,13536.5029762184
1952,"Drums, croakers","Sciaenidae","Brazil","Subsistence",0.0696804244,317.6730548396
1952,"Drums, croakers","Sciaenidae","Peru","Subsistence",212.3377232068,100011.067630391
1952,"Eastern Pacific bonito","Sarda chiliensis","Peru","Subsistence",1734.853309267,629751.751263903
1952,"Finfishes","Marine finfishes not identified","Chile","Subsistence",0.741419323,1086.920727518
1952,"Flathead grey mullet","Mugil cephalus","Peru","Subsistence",8.2237157657,3774.68553644381
1952,"Galapagos shark","Carcharhinus galapagensis","Chile","Subsistence",0.0322356227,28.077227411557
1952,"Grey mullets","Mugil","Brazil","Subsistence",71.1983940533,298534.866265487
1952,"Hapuka","Polyprion oxygeneios","Chile","Subsistence",2.2685,4750.239
1952,"Herrings, sardines, menhadens","Clupeidae","Brazil","Subsistence",34.7134045247,23570.4016722713
1952,"Jacks, pompanos","Carangidae","Brazil","Subsistence",7.2549957483,20821.837797621
1952,"King weakfish","Macrodon ancylodon","Brazil","Subsistence",3.9231093972,17885.4557418348
1952,"Marine fishes nei","Marine fishes not identified","Brazil","Subsistence",77.6392403235,167390.202137466
1952,"Marine fishes nei","Marine fishes not identified","Chile","Subsistence",17.6368509204,11023.0318252434
1952,"Marine fishes nei","Marine fishes not identified","Peru","Subsistence",480.770679762,107211.861586925
1952,"Medusafishes","Centrolophidae","Chile","Subsistence",1.9341373647,1686.56778205817
1952,"Pacific menhaden","Ethmidium maculatum","Peru","Subsistence",412.4988185319,45787.3688570454
1952,"Pacific sierra","Scomberomorus sierra","Peru","Subsistence",17.1327448948,10005.5230185546
1952,"Peruvian banded croaker","Paralonchurus peruanus","Peru","Subsistence",15.0670220993,7096.56740874699
1952,"Peruvian morwong","Cheilodactylus variegatus","Peru","Subsistence",2.7988276345,993.583810260174
1952,"Peruvian rock seabass","Paralabrax humeralis","Peru","Subsistence",60.268088397,32544.7677343811
1952,"Peruvian weakfish","Cynoscion analis","Peru","Subsistence",24.1632119115,14618.7432064524
1952,"Rainbow runner","Elagatis bipinnulata","Chile","Subsistence",2.5788498197,1294.58260946973
1952,"Sea catfishes, coblers","Ariidae","Brazil","Subsistence",12.188142685,46570.893199385
1952,"Sharks, rays, skates","Elasmobranchii","Brazil","Subsistence",6.277720753,18864.550862765
1952,"Skates and rays","Rajiformes","Peru","Subsistence",26.0757441284,19217.8234226487
1952,"Skipjack tuna","Katsuwonus pelamis","Peru","Subsistence",2.1336396001,1324.99019163791
1952,"Spiny lobsters","Panulirus","Chile","Subsistence",0.2686301895,910.387712378175
1952,"Swimming crabs","Portunidae","Brazil","Subsistence",12.8977702192,18908.1311413472
1952,"Tilefishes","Malacanthidae","Peru","Subsistence",39.8930896889,18310.9281671843
1952,"Warehous, butterfishes","Seriolella","Peru","Subsistence",81.3059427833,52848.8628091203
