"Taxon.Key","FAO_Name","MatchName","SAU_name","Species","Country","Year","Aquaculture","Capture","Exports","Imports","Production","DHC_Use","FMFO_Use","Other_Use","Discards"
NA,"[Pimelodus.maculatus]",NA,NA,"[Pimelodus.maculatus]","Brazil","X2012",0,29,0,0,0,NA,NA,NA,NA
NA,"[Pimelodus.maculatus]",NA,NA,"[Pimelodus.maculatus]","Brazil","X2013",0,29,0,0,0,NA,NA,NA,NA
NA,"[Pimelodus.maculatus]",NA,NA,"[Pimelodus.maculatus]","Brazil","X2014",0,29,0,0,0,NA,NA,NA,NA
NA,"[Pimelodus.maculatus]",NA,NA,"[Pimelodus.maculatus]","Brazil","X2015",0,27,0,0,0,NA,NA,NA,NA
NA,"[Pimelodus.maculatus]",NA,NA,"[Pimelodus.maculatus]","Brazil","X2016",0,27,0,0,0,NA,NA,NA,NA
NA,"[Schizodon.fasciatus]",NA,NA,"[Schizodon.fasciatus]","Brazil","X2010",0,5173,0,0,0,NA,NA,NA,NA
NA,"[Schizodon.fasciatus]",NA,NA,"[Schizodon.fasciatus]","Brazil","X2011",0,4914,0,0,0,NA,NA,NA,NA
NA,"[Schizodon.fasciatus]",NA,NA,"[Schizodon.fasciatus]","Brazil","X2012",0,4952,0,0,0,NA,NA,NA,NA
NA,"[Schizodon.fasciatus]",NA,NA,"[Schizodon.fasciatus]","Brazil","X2013",0,4994,0,0,0,NA,NA,NA,NA
NA,"[Schizodon.fasciatus]",NA,NA,"[Schizodon.fasciatus]","Brazil","X2014",0,4931,0,0,0,NA,NA,NA,NA
NA,"[Schizodon.fasciatus]",NA,NA,"[Schizodon.fasciatus]","Brazil","X2015",0,4730,0,0,0,NA,NA,NA,NA
NA,"[Schizodon.fasciatus]",NA,NA,"[Schizodon.fasciatus]","Brazil","X2016",0,4730,0,0,0,NA,NA,NA,NA
NA,"[Triportheus.angulatus]",NA,NA,"[Triportheus.angulatus]","Brazil","X2010",0,3366,0,0,0,NA,NA,NA,NA
NA,"[Triportheus.angulatus]",NA,NA,"[Triportheus.angulatus]","Brazil","X2011",0,3174,0,0,0,NA,NA,NA,NA
NA,"[Triportheus.angulatus]",NA,NA,"[Triportheus.angulatus]","Brazil","X2012",0,3199,0,0,0,NA,NA,NA,NA
NA,"[Triportheus.angulatus]",NA,NA,"[Triportheus.angulatus]","Brazil","X2013",0,3226,0,0,0,NA,NA,NA,NA
NA,"[Triportheus.angulatus]",NA,NA,"[Triportheus.angulatus]","Brazil","X2014",0,3185,0,0,0,NA,NA,NA,NA
NA,"[Triportheus.angulatus]",NA,NA,"[Triportheus.angulatus]","Brazil","X2015",0,3050,0,0,0,NA,NA,NA,NA
NA,"[Triportheus.angulatus]",NA,NA,"[Triportheus.angulatus]","Brazil","X2016",0,3050,0,0,0,NA,NA,NA,NA
NA,"Aimara",NA,NA,"Aimara","Brazil","X2010",0,314,0,0,0,NA,NA,NA,NA
NA,"Aimara",NA,NA,"Aimara","Brazil","X2011",0,296,0,0,0,NA,NA,NA,NA
NA,"Aimara",NA,NA,"Aimara","Brazil","X2012",0,298,0,0,0,NA,NA,NA,NA
NA,"Aimara",NA,NA,"Aimara","Brazil","X2013",0,301,0,0,0,NA,NA,NA,NA
NA,"Aimara",NA,NA,"Aimara","Brazil","X2014",0,297,0,0,0,NA,NA,NA,NA
NA,"Aimara",NA,NA,"Aimara","Brazil","X2015",0,280,0,0,0,NA,NA,NA,NA
NA,"Aimara",NA,NA,"Aimara","Brazil","X2016",0,280,0,0,0,NA,NA,NA,NA
NA,"Amazon.sailfin.catfish",NA,NA,"Amazon.sailfin.catfish","Brazil","X2011",0,1442,0,0,0,NA,NA,NA,NA
NA,"Amazon.sailfin.catfish",NA,NA,"Amazon.sailfin.catfish","Brazil","X2012",0,1453,0,0,0,NA,NA,NA,NA
NA,"Amazon.sailfin.catfish",NA,NA,"Amazon.sailfin.catfish","Brazil","X2013",0,1465,0,0,0,NA,NA,NA,NA
