"group","year","catch","no_hc","aquaculture","exports","imports","total"
"langostinos_otros",2014,3153,274,0,228.28724,178.56,2829.27276
"langostinos_otros",2015,13426,0,0,624.3396,257.696,13059.3564
"langostinos_otros",2016,8610,430,0,617.003,38.764,7601.761
"langostinos_otros",2017,4597,797,0,267.84299,0.006,3532.16301
"loco",2013,2067,0,0,398.51281,0,1668.48719
"loco",2014,2250,0,0,475.10439,0,1774.89561
"loco",2015,4790,0,0,337.21554,0,4452.78446
"loco",2016,2361,0,0,448.46572,0,1912.53428
"loco",2017,2717,0,0,778.50594,0,1938.49406
"macha",2013,2741,0,0,103.08795,6.9234,2644.83545
"macha",2014,832,0,0,97.35821,2.09088,736.73267
"macha",2015,2510,0,0,28.9857,0,2481.0143
"macha",2016,1003,0,0,2.70744,0,1000.29256
"macha",2017,2718,0,0,101.59019,0,2616.40981
"meduza",2015,618,0,0,0,0,618
"meduza",2016,1048,0,0,0,0.07996,1048.07996
"meduza",2017,924,0,0,0,0,924
"mejillon",2013,995,0,254786,69924.64734,921.6201,186777.97276
"mejillon",2014,1267,0,239649,68917.51947,812.9044,172811.38493
"mejillon",2015,4218,0,290759,75203.44137,772.38634,220545.94497
"mejillon",2016,3777,0,301339,73284.32291,486.12988,232317.80697
"mejillon",2017,4571,0,339926,86004.55676,842.4504,259334.89364
"merluza",2013,238304,11696,0,46968.632,1297.005,180936.373
"merluza",2014,163004,128,0,29018.07514,1873.925,135731.84986
"merluza",2015,193826,108,0,28474.97422,1469.6018,166712.62758
"merluza",2016,148308,64,0,30334.87638,1122.7494,119031.87302
"merluza",2017,134042,0,0,43584.36022,1552.68185,92010.32163
"moluscos_otros",2013,6675,14,4251,69892.86764,298.99208,-58681.87556
"moluscos_otros",2014,5306,11,1172,68845.01797,2.286,-62375.73197
"moluscos_otros",2015,14412,0,1254,74990.33487,166.9096,-59157.42527
"moluscos_otros",2016,9586,0,1005,73206.66604,509.608,-62106.05804
"moluscos_otros",2017,9847,0,1501,86209.51349,510.02748,-74351.48601
"navaja",2013,2343,0,0,867.81112,4.89477,1480.08365
"navaja",2014,2960,0,0,846.1982,1.2705,2115.0723
"navaja",2015,6520,0,0,1134.72792,0,5385.27208
"navaja",2016,2421,0,0,775.91368,1.6932,1646.77952
"navaja",2017,2040,0,0,770.30243,0,1269.69757
"navajuela",2013,5577,0,0,1481.66505,4.53967,4099.87462
"navajuela",2014,4317,0,0,1710.10228,0,2606.89772
"navajuela",2015,10044,0,0,1535.72375,0,8508.27625
"navajuela",2016,4995,0,0,1637.07545,33.048,3390.97255
"navajuela",2017,5983,0,0,1845.76643,0,4137.23357
"ostion",2013,0,0,10002,330.01156,3.33744,9675.32588
"ostion",2014,0,0,8292,235.5828,2.96462,8059.38182
"ostion",2015,0,0,2947,73.1408,0,2873.8592
"ostion",2016,0,0,7104,117.968,3.59046,6989.62246
"ostion",2017,0,0,9410,2096.68308,0.7672,7314.08412
"ostra",2013,6,0,244,8.063,0.12218,242.05918
"ostra",2014,19,0,308,3.659,0.1,323.441
"ostra",2015,38,0,263,5.338,0.96,296.622
"ostra",2016,109,0,270,8.252,0,370.748
"ostra",2017,171,0,426,2.133,0,594.867
"pescado_otros",2013,1799056,2121918,220,16010.67702,52610.6394,-286042.03762
"pescado_otros",2014,1855830,2152134,6,25969.9352,53588.709,-268679.2262
"pescado_otros",2015,1792194,1404552,8,24065.5967,55248.76708,418833.17038
"pescado_otros",2016,850692,904910,0,27903.54506,98939.8503,16818.30524
"pescado_otros",2017,1561738,1788336,50,21288.66626,68647.98129,-179188.68497
"piure",2013,1121,0,0,0,0,1121
"piure",2014,1895,0,0,0,0,1895
"piure",2015,4548,0,0,0,0,4548
"piure",2016,2120,0,0,0,0,2120
"piure",2017,2295,0,0,0,0,2295
"pulpo",2013,1796,0,0,1.037,1.4196,1796.3826
"pulpo",2014,2283,0,0,23.1379,0,2259.8621
"pulpo",2015,3698,0,0,0,5.14992,3703.14992
"pulpo",2016,3215,0,0,2.22258,1.10343,3213.88085
"pulpo",2017,3602,0,0,2011.84446,0.177,1590.33254
"raya",2013,888,0,0,0,0,888
"raya",2014,24,0,0,0,0,24
"raya",2015,47,0,0,0,0,47
"raya",2016,722,0,0,0,0,722
"raya",2017,31,0,0,37.65817,0,-6.65817
"salmon",2013,0,0,5228636,244648.53028,2.47618,4983989.9459
