"especie_SERNAPESCA","sc_name","group"
"LANGOSTA DE ISLA DE PASCUA O URA","Panulirus pascuensis","crustaceos_otros"
"LANGOSTA DE J.FERNANDEZ","Jasus frontalis","crustaceos_otros"
"LANGOSTINO AMARILLO","Cervimunida johni","langostinos_otros"
"LANGOSTINO COLORADO","Pleuroncodes monodon","langostino_col"
"LANGOSTINO DE LOS CANALES","Munida subrugosa","langostinos_otros"
"LANGOSTINO ENANO","Pleuroncodes sp","langostinos_otros"
"ACHA O HACHA","Medialuna ancietae","pescado_otros"
"ATUN OJOS GRANDES / KAHI MATA TATA","Thunnus obesus","atunes"
"BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","Polyprion oxygeneios","pescado_otros"
"BARRACUDA O PETO / KANA KANA",NA,"pescado_otros"
"BROTULA","Salilota australis","pescado_otros"
"COJINOBA MOTEADA","Seriolella punctata","pescado_otros"
"PEJERRATA O GRANADERO","Coelorhynchus spp","pescado_otros"
"PEJEZORRO","Alopias vulpinus","pescado_otros"
"REMOREMO","Elagatis bipinnulata","pescado_otros"
"LAPA BONETE","Fissurella costata","moluscos_otros"
"PULPO DE JUAN FERNANDEZ","Octopus Crusoe","pulpo"
"CAMARON DE ROCA","Rhynchocinetes typus","camaron_otro"
"LANGOSTA ENANA","Projasus bahamondei","crustaceos_otros"
"PICOROCO","Austromegabalanus psittacus","crustaceos_otros"
"PULGA SALTARINA O GAMBITA","Gammarus sp","crustaceos_otros"
"ERIZO","Loxechinus albus","erizo"
"MEDUSA","Chrysaora Plocamia","meduza"
"PEPINO DE MAR","Athyonidium chilensis","invertebrados_otros"
"PIURE","Pyura chilensis","piure"
"ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","Katsuwonus pelamis","atunes"
"BAGRE","Ameiurus melas","pescado_otros"
"BRECA DE JUAN FERNANDEZ","Nemadactylus gayi","pescado_otros"
"COCHINILLA","Navodon Paschalis","pescado_otros"
"HUAIQUIL O CORVINILLA","Micropogonias manni","pescado_otros"
"RAYA ESPINOSA","Dipturus trachyderma","raya"
"CAMARON NAVAJA","Campylonotus semistriatus","camaron_otro"
"ALGAS MIXTAS",NA,"alga"
"CAROLA","Callophyllis variegata","alga"
"JUREL FINO","Decapterus macrosoma","jurel"
"MATAHUIRA, KARA KARA O KRA KRA","Heteropriacanthus cruentatus","pescado_otros"
"NANUE, NANUE PARA, PISI O PUA","Kiphosus sandwicensis / Kiphosus bigibbus","pescado_otros"
"QUIMERA NEGRA",NA,"tiburon"
"MERLUZA DE TRES ALETAS","Micromesistius australis","merluza"
"LENGUADO DE OJOS GRANDES","Hippoglossina macrops","pescado_otros"
"CENTOLLA DEL NORTE","Lithodes spp.","centolla_nor"
"GRANADERO GRANDE","Macrourus holotrachys","pescado_otros"
"PEJERRATA","Coelorhynchus chilensis","pescado_otros"
"PEJERRATA O GRANADERO ESCAMOSO","Macrourus carinatus.","pescado_otros"
"DRACO RAYADO","Champsocephalus gunnari","pescado_otros"
"KRILL","Euphasia superba","crustaceos_otros"
"RAYA AGUILA","Myliobatis peruvianus","raya"
"BACALAO ANTARTICO","Dissostichus mawsoni","pescado_otros"
"MERLUZA DEL ATLANTICO","Merluccius hubbsi","merluza"
"NOTOTENIA O MARUJITO","Patagonotothen ramsayi","pescado_otros"
"RAYA MOTEADA O NEGRA","Sympterygia brevicaudata","raya"
"CALAMAR ILLEX O POTA DEL ATLANTICO","Illex argentinus","moluscos_otros"
"POTA DEL PACIFICO","Todarodes Pacificus","moluscos_otros"
"CUBICEPS","Cubiceps","pescado_otros"
NA,"Protothaca thaca","almeja_tha_ant"
NA,"Ameghinomya antiqua","almeja_tha_ant"
NA,"Cancer spp","jaiba"
NA,"Pecten","vieiras_volan"
NA,"Chlamys","vieiras_volan"
NA,"Placopecten","vieiras_volan"
