"subsector","year","region","month","species","tons","international_waters"
"artisanal",2013,"national","ENE","LANGOSTA DE J.FERNANDEZ",13,0
"artisanal",2013,"national","ENE","LANGOSTA ENANA",NA,0
"artisanal",2013,"national","ENE","LANGOSTINO AMARILLO",NA,0
"artisanal",2013,"national","ENE","LANGOSTINO COLORADO",3,0
"artisanal",2013,"national","ENE","LANGOSTINO ENANO",NA,0
"artisanal",2013,"national","ENE","PICOROCO",15,0
"artisanal",2013,"national","ENE","ERIZO",81,0
"artisanal",2013,"national","ENE","PEPINO DE MAR",1,0
"artisanal",2013,"national","ENE","PIURE",103,0
"artisanal",2013,"national","FEB","CHASCA",11,0
"artisanal",2013,"national","FEB","CHASCON O HUIRO NEGRO",26887,0
"artisanal",2013,"national","FEB","CHICOREA DE MAR",273,0
"artisanal",2013,"national","FEB","COCHAYUYO",874,0
"artisanal",2013,"national","FEB","HUIRO",2906,0
"artisanal",2013,"national","FEB","HUIRO PALO",3051,0
"artisanal",2013,"national","FEB","LECHUGUILLA",NA,0
"artisanal",2013,"national","FEB","LIQUEN GOMOSO",NA,0
"artisanal",2013,"national","FEB","LUCHE",5,0
"artisanal",2013,"national","FEB","LUGA CUCHARA O CORTA",513,0
"artisanal",2013,"national","FEB","LUGA NEGRA O CRESPA",6614,0
"artisanal",2013,"national","FEB","LUGA-ROJA",5019,0
"artisanal",2013,"national","FEB","PELILLO",3517,0
"artisanal",2013,"national","FEB","ALBACORA O PEZ ESPADA",1,0
"artisanal",2013,"national","FEB","ANCHOVETA",15150,0
"artisanal",2013,"national","FEB","ANGUILA",10,0
"artisanal",2013,"national","FEB","APANADO",1,0
"artisanal",2013,"national","FEB","ATUN ALETA AMARILLA",NA,0
"artisanal",2013,"national","FEB","ATUN ALETA LARGA",NA,0
"artisanal",2013,"national","FEB","ATUN CHAUCHERA",NA,0
"artisanal",2013,"national","FEB","ATUN OJOS GRANDES",NA,0
"artisanal",2013,"national","FEB","AYANQUE",NA,0
"artisanal",2013,"national","FEB","AZULEJO",2,0
"artisanal",2013,"national","FEB","BACALADILLO O MOTE",2743,0
"artisanal",2013,"national","FEB","BACALAO DE PROFUNDIDAD",165,0
"artisanal",2013,"national","FEB","BAGRE AGUA DULCE",NA,0
"artisanal",2013,"national","FEB","BESUGO",1,0
"artisanal",2013,"national","FEB","BLANQUILLO",7,0
"artisanal",2013,"national","FEB","BONITO",4,0
"artisanal",2013,"national","FEB","BRECA O BILAGAY",10,0
"artisanal",2013,"national","FEB","BROTULA",NA,0
"artisanal",2013,"national","FEB","CABALLA",1593,0
"artisanal",2013,"national","FEB","CABINZA",3,0
"artisanal",2013,"national","FEB","CABRILLA",15,0
"artisanal",2013,"national","FEB","CABRILLA COMUN",5,0
"artisanal",2013,"national","FEB","CANQUE",NA,0
"artisanal",2013,"national","FEB","CHANCHARRO",NA,0
"artisanal",2013,"national","FEB","COCHINILLA",NA,0
"artisanal",2013,"national","FEB","COJINOBA DEL NORTE",28,0
"artisanal",2013,"national","FEB","COJINOBA DEL SUR",1,0
"artisanal",2013,"national","FEB","CONGRIO COLORADO",80,0
"artisanal",2013,"national","FEB","CONGRIO DORADO",191,0
"artisanal",2013,"national","FEB","CONGRIO NEGRO",24,0
"artisanal",2013,"national","FEB","CORVINA",55,0
"artisanal",2013,"national","FEB","DORADO DE ALTURA",93,0
"artisanal",2013,"national","FEB","HUAIQUIL O CORVINILLA",NA,0
"artisanal",2013,"national","FEB","JERGUILLA",1,0
"artisanal",2013,"national","FEB","JUREL",4943,0
"artisanal",2013,"national","FEB","LENGUADO OJOS CHICOS",2,0
"artisanal",2013,"national","FEB","LISA",3,0
"artisanal",2013,"national","FEB","MACHUELO O TRITRE",2160,0
"artisanal",2013,"national","FEB","MARLIN",NA,0
"artisanal",2013,"national","FEB","MERLUZA COMUN",670,0
"artisanal",2013,"national","FEB","MERLUZA DEL SUR O AUSTRAL",586,0
"artisanal",2013,"national","FEB","NANUE",NA,0
"artisanal",2013,"national","FEB","PAMPANITO",66,0
"artisanal",2013,"national","FEB","PEJEGALLO",22,0
"artisanal",2013,"national","FEB","PEJEPERRO",NA,0
"artisanal",2013,"national","FEB","PEJERREY DE MAR",20,0
"artisanal",2013,"national","FEB","PEJESAPO",NA,0
"artisanal",2013,"national","FEB","PEJEZORRO",NA,0
"artisanal",2013,"national","FEB","PESCADO NO CLASIFICADO",1,0
"artisanal",2013,"national","FEB","PUYE",NA,0
"artisanal",2013,"national","FEB","RAYA ESPINOSA",NA,0
"artisanal",2013,"national","FEB","RAYA VOLANTIN",187,0
"artisanal",2013,"national","FEB","REINETA",1011,0
"artisanal",2013,"national","FEB","ROBALO",15,0
"artisanal",2013,"national","FEB","ROCOCO",NA,0
"artisanal",2013,"national","FEB","ROLLIZO",2,0
"artisanal",2013,"national","FEB","RONCACHO",6,0
"artisanal",2013,"national","FEB","SARDINA AUSTRAL",7739,0
"artisanal",2013,"national","FEB","SARDINA COMUN",10879,0
"artisanal",2013,"national","FEB","SARDINA ESPANOLA",4,0
"artisanal",2013,"national","FEB","SARGO",3,0
"artisanal",2013,"national","FEB","SIERRA",234,0
"artisanal",2013,"national","FEB","TIBURON O MARRAJO",33,0
"artisanal",2013,"national","FEB","TIBURON SARDINERO",NA,0
"artisanal",2013,"national","FEB","TOLLO",1,0
"artisanal",2013,"national","FEB","VIDRIOLA, PALOMETA, DORADO O TOREMO",8,0
"artisanal",2013,"national","FEB","VIEJA O MULATA",NA,0
"artisanal",2013,"national","FEB","ALMEJA",258,0
"artisanal",2013,"national","FEB","CALAMAR",NA,0
"artisanal",2013,"national","FEB","CARACOL LOCATE",62,0
"artisanal",2013,"national","FEB","CARACOL PALO PALO",17,0
"artisanal",2013,"national","FEB","CARACOL PICUYO",NA,0
"artisanal",2013,"national","FEB","CARACOL PIQUILHUE",1,0
"artisanal",2013,"national","FEB","CARACOL RUBIO",NA,0
"artisanal",2013,"national","FEB","CARACOL TEGULA",7,0
"artisanal",2013,"national","FEB","CARACOL TRUMULCO",15,0
"artisanal",2013,"national","FEB","CHOCHA",NA,0
"artisanal",2013,"national","FEB","CHOLGA",521,0
"artisanal",2013,"national","FEB","CHORITO",29,0
"artisanal",2013,"national","FEB","CHORO",41,0
"artisanal",2013,"national","FEB","CULENGUE",74,0
"artisanal",2013,"national","FEB","HUEPO O NAVAJA DE MAR",253,0
"artisanal",2013,"national","FEB","JIBIA O CALAMAR ROJO",4874,0
"artisanal",2013,"national","FEB","JULIANA O TAWERA",NA,0
"artisanal",2013,"national","FEB","LAPA NEGRA",55,0
"artisanal",2013,"national","FEB","LAPA PICTA",NA,0
"artisanal",2013,"national","FEB","LAPA REINA",NA,0
"artisanal",2013,"national","FEB","LAPA ROSADA",NA,0
"artisanal",2013,"national","FEB","LOCO",2,0
"artisanal",2013,"national","FEB","MACHA",344,0
"artisanal",2013,"national","FEB","NAVAJUELA",361,0
"artisanal",2013,"national","FEB","OSTION DEL SUR",698,0
"artisanal",2013,"national","FEB","OSTRA CHILENA",NA,0
"artisanal",2013,"national","FEB","PULPO",NA,0
"artisanal",2013,"national","FEB","PULPO DEL SUR",NA,0
"artisanal",2013,"national","FEB","TAQUILLA",43,0
"artisanal",2013,"national","FEB","TUMBAO",46,0
"artisanal",2013,"national","FEB","CAMARON DE ROCA",1,0
"artisanal",2013,"national","FEB","CAMARON NAILON",160,0
"artisanal",2013,"national","FEB","CANGREJO DORADO DE J. FERNANDEZ",NA,0
"artisanal",2013,"national","FEB","CENTOLLA",19,0
"artisanal",2013,"national","FEB","CENTOLLON",169,0
"artisanal",2013,"national","FEB","CENTOLLON DEL NORTE",NA,0
"artisanal",2013,"national","FEB","CRUSTACEO NO CLASIFICADO",7,0
"artisanal",2013,"national","FEB","GAMBA",8,0
"artisanal",2013,"national","FEB","JAIBA LIMON",17,0
"artisanal",2013,"national","FEB","JAIBA MARMOLA",508,0
"artisanal",2013,"national","FEB","JAIBA MORA",13,0
"artisanal",2013,"national","FEB","JAIBA PANCHOTE O CANGREJO",NA,0
"artisanal",2013,"national","FEB","JAIBA PATUDA",3,0
"artisanal",2013,"national","FEB","JAIBA PELUDA O PACHONA",58,0
"artisanal",2013,"national","FEB","JAIBA REINA",8,0
"artisanal",2013,"national","FEB","JAIBA REMADORA",23,0
"artisanal",2013,"national","FEB","LANGOSTA DE J.FERNANDEZ",7,0
"artisanal",2013,"national","FEB","LANGOSTA ENANA",NA,0
"artisanal",2013,"national","FEB","LANGOSTINO AMARILLO",NA,0
"artisanal",2013,"national","FEB","LANGOSTINO COLORADO",2,0
"artisanal",2013,"national","FEB","LANGOSTINO ENANO",NA,0
"artisanal",2013,"national","FEB","PICOROCO",10,0
"artisanal",2013,"national","FEB","ERIZO",102,0
"artisanal",2013,"national","FEB","PEPINO DE MAR",NA,0
"artisanal",2013,"national","FEB","PIURE",120,0
"artisanal",2013,"national","MAR","CHASCA",33,0
"artisanal",2013,"national","MAR","CHASCON O HUIRO NEGRO",27501,0
"artisanal",2013,"national","MAR","CHICOREA DE MAR",262,0
"artisanal",2013,"national","MAR","COCHAYUYO",1106,0
"artisanal",2013,"national","MAR","HUIRO",3500,0
"artisanal",2013,"national","MAR","HUIRO PALO",3445,0
"artisanal",2013,"national","MAR","LECHUGUILLA",NA,0
"artisanal",2013,"national","MAR","LIQUEN GOMOSO",NA,0
"artisanal",2013,"national","MAR","LUCHE",5,0
"artisanal",2013,"national","MAR","LUGA CUCHARA O CORTA",493,0
"artisanal",2013,"national","MAR","LUGA NEGRA O CRESPA",7098,0
"artisanal",2013,"national","MAR","LUGA-ROJA",5327,0
"artisanal",2013,"national","MAR","PELILLO",4134,0
"artisanal",2013,"national","MAR","ALBACORA O PEZ ESPADA",142,0
"artisanal",2013,"national","MAR","ANCHOVETA",38103,0
"artisanal",2013,"national","MAR","ANGUILA",23,0
"artisanal",2013,"national","MAR","APANADO",1,0
"artisanal",2013,"national","MAR","ATUN ALETA AMARILLA",1,0
"artisanal",2013,"national","MAR","ATUN ALETA LARGA",NA,0
"artisanal",2013,"national","MAR","ATUN CHAUCHERA",1,0
"artisanal",2013,"national","MAR","ATUN OJOS GRANDES",NA,0
"artisanal",2013,"national","MAR","AYANQUE",NA,0
"artisanal",2013,"national","MAR","AZULEJO",17,0
"artisanal",2013,"national","MAR","BACALADILLO O MOTE",14306,0
"artisanal",2013,"national","MAR","BACALAO DE PROFUNDIDAD",214,0
"artisanal",2013,"national","MAR","BAGRE AGUA DULCE",1,0
"artisanal",2013,"national","MAR","BESUGO",NA,0
"artisanal",2013,"national","MAR","BLANQUILLO",3,0
"artisanal",2013,"national","MAR","BONITO",NA,0
"artisanal",2013,"national","MAR","BRECA O BILAGAY",12,0
"artisanal",2013,"national","MAR","BROTULA",NA,0
"artisanal",2013,"national","MAR","CABALLA",311,0
"artisanal",2013,"national","MAR","CABINZA",4,0
"artisanal",2013,"national","MAR","CABRILLA",16,0
"artisanal",2013,"national","MAR","CABRILLA COMUN",4,0
"artisanal",2013,"national","MAR","CANQUE",NA,0
"artisanal",2013,"national","MAR","CHANCHARRO",NA,0
"artisanal",2013,"national","MAR","COCHINILLA",30,0
"artisanal",2013,"national","MAR","COJINOBA DEL NORTE",17,0
"artisanal",2013,"national","MAR","COJINOBA DEL SUR",NA,0
"artisanal",2013,"national","MAR","CONGRIO COLORADO",86,0
"artisanal",2013,"national","MAR","CONGRIO DORADO",163,0
"artisanal",2013,"national","MAR","CONGRIO NEGRO",32,0
"artisanal",2013,"national","MAR","CORVINA",68,0
"artisanal",2013,"national","MAR","DORADO DE ALTURA",25,0
"artisanal",2013,"national","MAR","HUAIQUIL O CORVINILLA",NA,0
"artisanal",2013,"national","MAR","JERGUILLA",1,0
"artisanal",2013,"national","MAR","JUREL",968,0
"artisanal",2013,"national","MAR","LENGUADO OJOS CHICOS",1,0
"artisanal",2013,"national","MAR","LISA",3,0
"artisanal",2013,"national","MAR","MACHUELO O TRITRE",1051,0
"artisanal",2013,"national","MAR","MARLIN",3,0
"artisanal",2013,"national","MAR","MERLUZA COMUN",1219,0
"artisanal",2013,"national","MAR","MERLUZA DEL SUR O AUSTRAL",738,0
"artisanal",2013,"national","MAR","NANUE",NA,0
"artisanal",2013,"national","MAR","PAMPANITO",406,0
"artisanal",2013,"national","MAR","PEJEGALLO",25,0
"artisanal",2013,"national","MAR","PEJEPERRO",1,0
"artisanal",2013,"national","MAR","PEJERREY DE MAR",53,0
"artisanal",2013,"national","MAR","PEJESAPO",NA,0
"artisanal",2013,"national","MAR","PEJEZORRO",2,0
"artisanal",2013,"national","MAR","PESCADO NO CLASIFICADO",8,0
"artisanal",2013,"national","MAR","PUYE",NA,0
"artisanal",2013,"national","MAR","RAYA ESPINOSA",30,0
"artisanal",2013,"national","MAR","RAYA VOLANTIN",159,0
"artisanal",2013,"national","MAR","REINETA",1546,0
"artisanal",2013,"national","MAR","ROBALO",17,0
"artisanal",2013,"national","MAR","ROCOCO",NA,0
"artisanal",2013,"national","MAR","ROLLIZO",4,0
"artisanal",2013,"national","MAR","RONCACHO",3,0
"artisanal",2013,"national","MAR","SARDINA AUSTRAL",6597,0
"artisanal",2013,"national","MAR","SARDINA COMUN",67092,0
"artisanal",2013,"national","MAR","SARDINA ESPANOLA",7,0
"artisanal",2013,"national","MAR","SARGO",2,0
"artisanal",2013,"national","MAR","SIERRA",115,0
"artisanal",2013,"national","MAR","TIBURON O MARRAJO",23,0
"artisanal",2013,"national","MAR","TIBURON SARDINERO",NA,0
"artisanal",2013,"national","MAR","TOLLO",1,0
"artisanal",2013,"national","MAR","VIDRIOLA, PALOMETA, DORADO O TOREMO",8,0
"artisanal",2013,"national","MAR","VIEJA O MULATA",1,0
"artisanal",2013,"national","MAR","ALMEJA",454,0
"artisanal",2013,"national","MAR","CALAMAR",15,0
"artisanal",2013,"national","MAR","CARACOL LOCATE",2,0
"artisanal",2013,"national","MAR","CARACOL PALO PALO",12,0
"artisanal",2013,"national","MAR","CARACOL PICUYO",1,0
"artisanal",2013,"national","MAR","CARACOL PIQUILHUE",NA,0
"artisanal",2013,"national","MAR","CARACOL RUBIO",NA,0
"artisanal",2013,"national","MAR","CARACOL TEGULA",6,0
"artisanal",2013,"national","MAR","CARACOL TRUMULCO",11,0
"artisanal",2013,"national","MAR","CHOCHA",NA,0
"artisanal",2013,"national","MAR","CHOLGA",674,0
"artisanal",2013,"national","MAR","CHORITO",48,0
"artisanal",2013,"national","MAR","CHORO",133,0
"artisanal",2013,"national","MAR","CULENGUE",62,0
"artisanal",2013,"national","MAR","HUEPO O NAVAJA DE MAR",189,0
"artisanal",2013,"national","MAR","JIBIA O CALAMAR ROJO",7444,0
"artisanal",2013,"national","MAR","JULIANA O TAWERA",226,0
"artisanal",2013,"national","MAR","LAPA NEGRA",65,0
"artisanal",2013,"national","MAR","LAPA PICTA",NA,0
"artisanal",2013,"national","MAR","LAPA REINA",NA,0
"artisanal",2013,"national","MAR","LAPA ROSADA",2,0
"artisanal",2013,"national","MAR","LOCO",54,0
"artisanal",2013,"national","MAR","MACHA",322,0
"artisanal",2013,"national","MAR","NAVAJUELA",361,0
"artisanal",2013,"national","MAR","OSTION DEL SUR",135,0
"artisanal",2013,"national","MAR","OSTRA CHILENA",NA,0
"artisanal",2013,"national","MAR","PULPO",284,0
"artisanal",2013,"national","MAR","PULPO DEL SUR",29,0
"artisanal",2013,"national","MAR","TAQUILLA",77,0
"artisanal",2013,"national","MAR","TUMBAO",32,0
"artisanal",2013,"national","MAR","CAMARON DE ROCA",NA,0
"artisanal",2013,"national","MAR","CAMARON NAILON",145,0
"artisanal",2013,"national","MAR","CANGREJO DORADO DE J. FERNANDEZ",1,0
"artisanal",2013,"national","MAR","CENTOLLA",26,0
