"species","year","tons","sc_name","en_name","group","en_group"
"LOCO","2014",2250,"Concholepas concholepas","Chilean abalone","loco","Loco"
"MACHA","2014",832,"Mesodesma donacium","Macha clam","macha","Macha"
"NAVAJUELA","2014",4317,"Tagelus dombeii","Navajuela","navajuela","Navajuela"
"OSTION DEL NORTE","2014",4146,"Argopecten purpuratus","Peruvian calico scallop","ostion","Scallop"
"OSTION DEL SUR","2014",771,"Chlamys vitrea","Sea scalop","moluscos_otros","Mollusks"
"OSTION PATAGONICO","2014",NA,"Chlamys patagonica","Patagonian scallop","ostion","Scallop"
"OSTRA CHILENA","2014",244,"Ostrea chilensis","Chilean flat oyster","ostra","Oyster"
"OSTRA DEL PACIFICO","2014",83,"Crassostrea gigas","Pacifuc Oyster","ostra","Oyster"
"PULPO","2014",2283,"Octopus (vulgaris) mimus","Changos octopus","pulpo","Octopus"
"TAQUILLA","2014",1743,"Mulinia edulis","Taquilla","almeja_otras","Clams"
"TUMBAO","2014",535,"Semele solida","Tumbao","almeja_otras","Clams"
"OTROS MOLUSCOS","2014",13,"Mollusca","Mollusks","moluscos_otros","mollusks"
"ABALON JAPONES","2015",13,"Haliotis discus hannai","Japanese abalone","abalon japones","Abalone"
"ABALON ROJO","2015",1032,"Haliotis rufescens","Red Abalone","abalon_otras","Abalone"
"ALMEJA","2015",12970,"Venus antiqua","Chilean clam","almeja_otras","Clams"
"CALAMAR","2015",16,"Loligo gahi","Patagonian squid","moluscos_otros","Mollusks"
"CARACOL LOCATE","2015",628,"Thais chocolata","Snail locate","caracoles_otros","Gastropods"
"CARACOL PALO PALO","2015",61,"Argobuccinum spp.","Sanil palo palo","caracoles_otros","Gastropods"
"CARACOL PICUYO","2015",11,"Odontocymbiola magellanica","Snail picuyo","caracoles_otros","Gastropods"
"CARACOL PIQUILHUE","2015",NA,"Adelomelon ancilla","Snail Piquilhue","caracoles_otros","Gastropods"
"CARACOL RUBIO","2015",4,"Xantochorus cassidiformis","Snail Rubio","caracoles_otros","Gastropods"
"CARACOL TEGULA","2015",44,"Tegula atra","Snail tegula","caracoles_otros","Gastropods"
"CARACOL TROPHON","2015",NA,"Trophon geversianus","Gevers's trophon","caracoles_otros","Gastropods"
"CARACOL TRUMULCO","2015",110,"Chorus giganteus","Snail trumulco","caracoles_otros","Gastropods"
"CHITON O APRETADOR","2015",NA,"Chiton spp","Chitons","moluscos_otros","mollusks"
"CHOCHA","2015",3,"Trochita trochiformes","Snail trochita","moluscos_otros","Mollusks"
"CHOLGA","2015",7155,"Aulacomya ater","Chilean ribbed mussel","moluscos_otros","Mollusks"
"CHORITO","2015",290291,"Mytilus chilensis","Chilean mussel","mejillon","Mussels"
"CHORO","2015",2577,"Choromytilus chorus","Chorus Mussel","mejillon","Mussels"
"CULENGUE","2015",1486,"Gari solida","Pacific clam","almeja_otras","Clams"
"HUEPO O NAVAJA DE MAR","2015",3260,"Ensis macha","Razor clam","navaja","Razor clam"
"JIBIA","2015",143684,"Dosidicus gigas","Jumbo flying squid","jibia","Squid"
"JULIANA O TAWERA","2015",3774,"Tawera gayi","Tawera","almeja_gayi","Tawera"
"LAPA","2015",NA,"Fissurella spp.","Keyhole limpet","moluscos_otros","Mollusks"
"LAPA NEGRA","2015",605,"Fissurella latimarginata","Black keyhole limpet","moluscos_otros","Mollusks"
"LAPA REINA","2015",15,"Fissurella maxima","Giant keyhole limpet","moluscos_otros","Mollusks"
"LAPA ROSADA","2015",41,"Fissurella cumingi","Rosy keyhole limpet","moluscos_otros","Mollusks"
"LOCO","2015",2395,"Concholepas concholepas","Chilean abalone","loco","Loco"
"MACHA","2015",1255,"Mesodesma donacium","Macha clam","macha","Macha"
"NAVAJUELA","2015",5022,"Tagelus dombeii","Navajuela","navajuela","Navajuela"
"OSTION DEL NORTE","2015",2947,"Argopecten purpuratus","Peruvian calico scallop","ostion","Scallop"
"OSTION DEL SUR","2015",614,"Chlamys vitrea","Sea scalop","moluscos_otros","Mollusks"
"OSTION PATAGONICO","2015",NA,"Chlamys patagonica","Patagonian scallop","ostion","Scallop"
"OSTRA CHILENA","2015",248,"Ostrea chilensis","Chilean flat oyster","ostra","Oyster"
"OSTRA DEL PACIFICO","2015",34,"Crassostrea gigas","Pacifuc Oyster","ostra","Oyster"
"PULPO","2015",1849,"Octopus (vulgaris) mimus","Changos octopus","pulpo","Octopus"
"TAQUILLA","2015",1154,"Mulinia edulis","Taquilla","almeja_otras","Clams"
"TUMBAO","2015",661,"Semele solida","Tumbao","almeja_otras","Clams"
"OTROS MOLUSCOS","2015",11,"Mollusca","Mollusks","moluscos_otros","mollusks"
"ABALON JAPONES","2016",2,"Haliotis discus hannai","Japanese abalone","abalon japones","Abalone"
"ABALON ROJO","2016",1274,"Haliotis rufescens","Red Abalone","abalon_otras","Abalone"
"ALMEJA","2016",13845,"Venus antiqua","Chilean clam","almeja_otras","Clams"
"CALAMAR","2016",5,"Loligo gahi","Patagonian squid","moluscos_otros","Mollusks"
"CARACOL LOCATE","2016",347,"Thais chocolata","Snail locate","caracoles_otros","Gastropods"
"CARACOL PALO PALO","2016",138,"Argobuccinum spp.","Sanil palo palo","caracoles_otros","Gastropods"
"CARACOL PICUYO","2016",7,"Odontocymbiola magellanica","Snail picuyo","caracoles_otros","Gastropods"
"CARACOL PIQUILHUE","2016",NA,"Adelomelon ancilla","Snail Piquilhue","caracoles_otros","Gastropods"
"CARACOL RUBIO","2016",NA,"Xantochorus cassidiformis","Snail Rubio","caracoles_otros","Gastropods"
"CARACOL TEGULA","2016",60,"Tegula atra","Snail tegula","caracoles_otros","Gastropods"
"CARACOL TROPHON","2016",1,"Trophon geversianus","Gevers's trophon","caracoles_otros","Gastropods"
"CARACOL TRUMULCO","2016",245,"Chorus giganteus","Snail trumulco","caracoles_otros","Gastropods"
"CHITON O APRETADOR","2016",NA,"Chiton spp","Chitons","moluscos_otros","mollusks"
"CHOCHA","2016",8,"Trochita trochiformes","Snail trochita","moluscos_otros","Mollusks"
"CHOLGA","2016",8491,"Aulacomya ater","Chilean ribbed mussel","moluscos_otros","Mollusks"
"CHORITO","2016",302777,"Mytilus chilensis","Chilean mussel","mejillon","Mussels"
"CHORO","2016",2339,"Choromytilus chorus","Chorus Mussel","mejillon","Mussels"
"CULENGUE","2016",1271,"Gari solida","Pacific clam","almeja_otras","Clams"
"HUEPO O NAVAJA DE MAR","2016",2421,"Ensis macha","Razor clam","navaja","Razor clam"
"JIBIA","2016",180914,"Dosidicus gigas","Jumbo flying squid","jibia","Squid"
"JULIANA O TAWERA","2016",3070,"Tawera gayi","Tawera","almeja_gayi","Tawera"
"LAPA","2016",NA,"Fissurella spp.","Keyhole limpet","moluscos_otros","Mollusks"
"LAPA NEGRA","2016",686,"Fissurella latimarginata","Black keyhole limpet","moluscos_otros","Mollusks"
"LAPA REINA","2016",28,"Fissurella maxima","Giant keyhole limpet","moluscos_otros","Mollusks"
"LAPA ROSADA","2016",15,"Fissurella cumingi","Rosy keyhole limpet","moluscos_otros","Mollusks"
"LOCO","2016",2361,"Concholepas concholepas","Chilean abalone","loco","Loco"
"MACHA","2016",1003,"Mesodesma donacium","Macha clam","macha","Macha"
"NAVAJUELA","2016",4995,"Tagelus dombeii","Navajuela","navajuela","Navajuela"
"OSTION DEL NORTE","2016",3547,"Argopecten purpuratus","Peruvian calico scallop","ostion","Scallop"
"OSTION DEL SUR","2016",1020,"Chlamys vitrea","Sea scalop","moluscos_otros","Mollusks"
"OSTION PATAGONICO","2016",NA,"Chlamys patagonica","Patagonian scallop","ostion","Scallop"
"OSTRA CHILENA","2016",336,"Ostrea chilensis","Chilean flat oyster","ostra","Oyster"
"OSTRA DEL PACIFICO","2016",43,"Crassostrea gigas","Pacifuc Oyster","ostra","Oyster"
"PULPO","2016",3215,"Octopus (vulgaris) mimus","Changos octopus","pulpo","Octopus"
"TAQUILLA","2016",1234,"Mulinia edulis","Taquilla","almeja_otras","Clams"
"TUMBAO","2016",348,"Semele solida","Tumbao","almeja_otras","Clams"
"OTROS MOLUSCOS","2016",343,"Mollusca","Mollusks","moluscos_otros","mollusks"
"ABALON JAPONES","2017",16,"Haliotis discus hannai","Japanese abalone","abalon japones","Abalone"
"ABALON ROJO","2017",1015,"Haliotis rufescens","Red Abalone","abalon_otras","Abalone"
"ALMEJA","2017",15672,"Venus antiqua","Chilean clam","almeja_otras","Clams"
"CALAMAR","2017",9,"Loligo gahi","Patagonian squid","moluscos_otros","Mollusks"
"CARACOL LOCATE","2017",412,"Thais chocolata","Snail locate","caracoles_otros","Gastropods"
"CARACOL PALO PALO","2017",162,"Argobuccinum spp.","Sanil palo palo","caracoles_otros","Gastropods"
"CARACOL PICUYO","2017",5,"Odontocymbiola magellanica","Snail picuyo","caracoles_otros","Gastropods"
"CARACOL PIQUILHUE","2017",NA,"Adelomelon ancilla","Snail Piquilhue","caracoles_otros","Gastropods"
"CARACOL RUBIO","2017",2,"Xantochorus cassidiformis","Snail Rubio","caracoles_otros","Gastropods"
"CARACOL TEGULA","2017",32,"Tegula atra","Snail tegula","caracoles_otros","Gastropods"
"CARACOL TROPHON","2017",NA,"Trophon geversianus","Gevers's trophon","caracoles_otros","Gastropods"
"CARACOL TRUMULCO","2017",173,"Chorus giganteus","Snail trumulco","caracoles_otros","Gastropods"
"CHITON O APRETADOR","2017",NA,"Chiton spp","Chitons","moluscos_otros","mollusks"
"CHOCHA","2017",7,"Trochita trochiformes","Snail trochita","moluscos_otros","Mollusks"
"CHOLGA","2017",8526,"Aulacomya ater","Chilean ribbed mussel","moluscos_otros","Mollusks"
"CHORITO","2017",341044,"Mytilus chilensis","Chilean mussel","mejillon","Mussels"
"CHORO","2017",3452,"Choromytilus chorus","Chorus Mussel","mejillon","Mussels"
"CULENGUE","2017",1585,"Gari solida","Pacific clam","almeja_otras","Clams"
"HUEPO O NAVAJA DE MAR","2017",2040,"Ensis macha","Razor clam","navaja","Razor clam"
"JIBIA","2017",152537,"Dosidicus gigas","Jumbo flying squid","jibia","Squid"
"JULIANA O TAWERA","2017",4186,"Tawera gayi","Tawera","almeja_gayi","Tawera"
"LAPA","2017",NA,"Fissurella spp.","Keyhole limpet","moluscos_otros","Mollusks"
"LAPA NEGRA","2017",585,"Fissurella latimarginata","Black keyhole limpet","moluscos_otros","Mollusks"
"LAPA REINA","2017",25,"Fissurella maxima","Giant keyhole limpet","moluscos_otros","Mollusks"
"LAPA ROSADA","2017",7,"Fissurella cumingi","Rosy keyhole limpet","moluscos_otros","Mollusks"
"LOCO","2017",2698,"Concholepas concholepas","Chilean abalone","loco","Loco"
"MACHA","2017",2569,"Mesodesma donacium","Macha clam","macha","Macha"
"NAVAJUELA","2017",5983,"Tagelus dombeii","Navajuela","navajuela","Navajuela"
"OSTION DEL NORTE","2017",4705,"Argopecten purpuratus","Peruvian calico scallop","ostion","Scallop"
"OSTION DEL SUR","2017",996,"Chlamys vitrea","Sea scalop","moluscos_otros","Mollusks"
"OSTION PATAGONICO","2017",NA,"Chlamys patagonica","Patagonian scallop","ostion","Scallop"
"OSTRA CHILENA","2017",551,"Ostrea chilensis","Chilean flat oyster","ostra","Oyster"
"OSTRA DEL PACIFICO","2017",46,"Crassostrea gigas","Pacifuc Oyster","ostra","Oyster"
"PULPO","2017",3602,"Octopus (vulgaris) mimus","Changos octopus","pulpo","Octopus"
"TAQUILLA","2017",1587,"Mulinia edulis","Taquilla","almeja_otras","Clams"
"TUMBAO","2017",492,"Semele solida","Tumbao","almeja_otras","Clams"
"OTROS MOLUSCOS","2017",1186,"Mollusca","Mollusks","moluscos_otros","mollusks"
"ERIZO","2013",30446,"Loxechinus albus","Chilean sea urchin","erizo","Sea urchin"
"MEDUSA","2013",NA,"Chrysaora Plocamia","South American sea nettle","meduza","Jellyfish"
"PEPINO DE MAR","2013",9,"Athyonidium chilensis","Sea cucumber","invertebrados_otros","Invertebrates"
"PIURE","2013",1121,"Pyura chilensis","Chilean tunicate","piure","Piure"
"ERIZO","2014",32343,"Loxechinus albus","Chilean sea urchin","erizo","Sea urchin"
"MEDUSA","2014",NA,"Chrysaora Plocamia","South American sea nettle","meduza","Jellyfish"
"PEPINO DE MAR","2014",60,"Athyonidium chilensis","Sea cucumber","invertebrados_otros","Invertebrates"
"PIURE","2014",1895,"Pyura chilensis","Chilean tunicate","piure","Piure"
"ERIZO","2015",31085,"Loxechinus albus","Chilean sea urchin","erizo","Sea urchin"
"MEDUSA","2015",NA,"Chrysaora Plocamia","South American sea nettle","meduza","Jellyfish"
"PEPINO DE MAR","2015",200,"Athyonidium chilensis","Sea cucumber","invertebrados_otros","Invertebrates"
"PIURE","2015",2274,"Pyura chilensis","Chilean tunicate","piure","Piure"
"ERIZO","2016",29086,"Loxechinus albus","Chilean sea urchin","erizo","Sea urchin"
"MEDUSA","2016",1048,"Chrysaora Plocamia","South American sea nettle","meduza","Jellyfish"
"PEPINO DE MAR","2016",205,"Athyonidium chilensis","Sea cucumber","invertebrados_otros","Invertebrates"
"PIURE","2016",2120,"Pyura chilensis","Chilean tunicate","piure","Piure"
"ERIZO","2017",30107,"Loxechinus albus","Chilean sea urchin","erizo","Sea urchin"
"MEDUSA","2017",924,"Chrysaora Plocamia","South American sea nettle","meduza","Jellyfish"
"PEPINO DE MAR","2017",436,"Athyonidium chilensis","Sea cucumber","invertebrados_otros","Invertebrates"
"PIURE","2017",2285,"Pyura chilensis","Chilean tunicate","piure","Piure"
"CAROLA","2013",NA,"Callophyllis variegata","Carola","alga","Algae"
"CHASCA","2013",243,"Gelidium rex","Red algae","alga","Algae"
"CHASCON O HUIRO NEGRO","2013",313341,"Lessonia nigrescens","Giant grey kelp","alga","Algae"
"CHICOREA DE MAR","2013",2475,"Chondracanthus chamissoi","Red algae chicorea","alga","Algae"
"COCHAYUYO","2013",8304,"Durvillaea antarctica","New Zealand bull","alga","Algae"
"HAEMATOCOCCUS","2013",41,"Haematococcus pluvialis","Haematococcus","alga","Algae"
"HUIRO","2013",30556,"Macrocystis spp.","Giant kelp","alga","Algae"
"HUIRO PALO","2013",38724,"Lessonia trabeculata","Giant brown kelp","alga","Algae"
"LIQUEN GOMOSO","2013",52,"Gymnogongrus furcellatus","Liquen Gomoso","alga","Algae"
"LUCHE","2013",90,"Porphyra columbina","Luche","alga","Algae"
"LUGA CUCHARA O CORTA","2013",3181,"Mazzaella laminarioides","Luga","alga","Algae"
"LUGA NEGRA O CRESPA","2013",34157,"Sarcothalia crispata","Black algae luga","alga","Algae"
"LUGA-LUGA","2013",NA,"Mazzaella membranacea","Luga","alga","Algae"
"LUGA-ROJA","2013",40760,"Gigartina skottsbergii","Red luga","alga","Algae"
"PELILLO","2013",58513,"Gracilaria spp.","Red algae gracilaria","alga","Algae"
"SPIRULINA","2013",12,"Spirulina spp.","Spirulina","alga","Algae"
"OTRAS ALGAS","2013",1,"Algaes","Algaes","alga","Algae"
"CAROLA","2014",NA,"Callophyllis variegata","Carola","alga","Algae"
"CHASCA","2014",576,"Gelidium rex","Red algae","alga","Algae"
"CHASCON O HUIRO NEGRO","2014",219998,"Lessonia nigrescens","Giant grey kelp","alga","Algae"
"CHICOREA DE MAR","2014",2715,"Chondracanthus chamissoi","Red algae chicorea","alga","Algae"
"COCHAYUYO","2014",8508,"Durvillaea antarctica","New Zealand bull","alga","Algae"
"HAEMATOCOCCUS","2014",26,"Haematococcus pluvialis","Haematococcus","alga","Algae"
"HUIRO","2014",25626,"Macrocystis spp.","Giant kelp","alga","Algae"
"HUIRO PALO","2014",60531,"Lessonia trabeculata","Giant brown kelp","alga","Algae"
"LIQUEN GOMOSO","2014",407,"Gymnogongrus furcellatus","Liquen Gomoso","alga","Algae"
"LUCHE","2014",132,"Porphyra columbina","Luche","alga","Algae"
"LUGA CUCHARA O CORTA","2014",4607,"Mazzaella laminarioides","Luga","alga","Algae"
"LUGA NEGRA O CRESPA","2014",34693,"Sarcothalia crispata","Black algae luga","alga","Algae"
"LUGA-LUGA","2014",NA,"Mazzaella membranacea","Luga","alga","Algae"
"LUGA-ROJA","2014",27068,"Gigartina skottsbergii","Red luga","alga","Algae"
"PELILLO","2014",45144,"Gracilaria spp.","Red algae gracilaria","alga","Algae"
"SPIRULINA","2014",NA,"Spirulina spp.","Spirulina","alga","Algae"
"OTRAS ALGAS","2014",136,"Algaes","Algaes","alga","Algae"
"CAROLA","2015",NA,"Callophyllis variegata","Carola","alga","Algae"
"CHASCA","2015",270,"Gelidium rex","Red algae","alga","Algae"
"CHASCON O HUIRO NEGRO","2015",115311,"Lessonia nigrescens","Giant grey kelp","alga","Algae"
"CHICOREA DE MAR","2015",2199,"Chondracanthus chamissoi","Red algae chicorea","alga","Algae"
"COCHAYUYO","2015",9441,"Durvillaea antarctica","New Zealand bull","alga","Algae"
"HAEMATOCOCCUS","2015",NA,"Haematococcus pluvialis","Haematococcus","alga","Algae"
"HUIRO","2015",28558,"Macrocystis spp.","Giant kelp","alga","Algae"
"HUIRO PALO","2015",72071,"Lessonia trabeculata","Giant brown kelp","alga","Algae"
"LIQUEN GOMOSO","2015",902,"Gymnogongrus furcellatus","Liquen Gomoso","alga","Algae"
"LUCHE","2015",176,"Porphyra columbina","Luche","alga","Algae"
"LUGA CUCHARA O CORTA","2015",3013,"Mazzaella laminarioides","Luga","alga","Algae"
"LUGA NEGRA O CRESPA","2015",41077,"Sarcothalia crispata","Black algae luga","alga","Algae"
"LUGA-LUGA","2015",NA,"Mazzaella membranacea","Luga","alga","Algae"
"LUGA-ROJA","2015",27327,"Gigartina skottsbergii","Red luga","alga","Algae"
"PELILLO","2015",57879,"Gracilaria spp.","Red algae gracilaria","alga","Algae"
"SPIRULINA","2015",NA,"Spirulina spp.","Spirulina","alga","Algae"
"OTRAS ALGAS","2015",53,"Algaes","Algaes","alga","Algae"
"CAROLA","2016",NA,"Callophyllis variegata","Carola","alga","Algae"
"CHASCA","2016",194,"Gelidium rex","Red algae","alga","Algae"
"CHASCON O HUIRO NEGRO","2016",155740,"Lessonia nigrescens","Giant grey kelp","alga","Algae"
"CHICOREA DE MAR","2016",2125,"Chondracanthus chamissoi","Red algae chicorea","alga","Algae"
"COCHAYUYO","2016",8015,"Durvillaea antarctica","New Zealand bull","alga","Algae"
"HAEMATOCOCCUS","2016",13,"Haematococcus pluvialis","Haematococcus","alga","Algae"
"HUIRO","2016",31875,"Macrocystis spp.","Giant kelp","alga","Algae"
"HUIRO PALO","2016",49802,"Lessonia trabeculata","Giant brown kelp","alga","Algae"
"LIQUEN GOMOSO","2016",239,"Gymnogongrus furcellatus","Liquen Gomoso","alga","Algae"
"LUCHE","2016",105,"Porphyra columbina","Luche","alga","Algae"
"LUGA CUCHARA O CORTA","2016",2273,"Mazzaella laminarioides","Luga","alga","Algae"
"LUGA NEGRA O CRESPA","2016",30694,"Sarcothalia crispata","Black algae luga","alga","Algae"
"LUGA-LUGA","2016",NA,"Mazzaella membranacea","Luga","alga","Algae"
"LUGA-ROJA","2016",22199,"Gigartina skottsbergii","Red luga","alga","Algae"
"PELILLO","2016",41259,"Gracilaria spp.","Red algae gracilaria","alga","Algae"
"SPIRULINA","2016",4,"Spirulina spp.","Spirulina","alga","Algae"
"OTRAS ALGAS","2016",33,"Algaes","Algaes","alga","Algae"
"CAROLA","2017",2,"Callophyllis variegata","Carola","alga","Algae"
"CHASCA","2017",228,"Gelidium rex","Red algae","alga","Algae"
"CHASCON O HUIRO NEGRO","2017",203850,"Lessonia nigrescens","Giant grey kelp","alga","Algae"
"CHICOREA DE MAR","2017",1270,"Chondracanthus chamissoi","Red algae chicorea","alga","Algae"
"COCHAYUYO","2017",9194,"Durvillaea antarctica","New Zealand bull","alga","Algae"
"HAEMATOCOCCUS","2017",35,"Haematococcus pluvialis","Haematococcus","alga","Algae"
"HUIRO","2017",29870,"Macrocystis spp.","Giant kelp","alga","Algae"
"HUIRO PALO","2017",56918,"Lessonia trabeculata","Giant brown kelp","alga","Algae"
"LIQUEN GOMOSO","2017",610,"Gymnogongrus furcellatus","Liquen Gomoso","alga","Algae"
"LUCHE","2017",158,"Porphyra columbina","Luche","alga","Algae"
"LUGA CUCHARA O CORTA","2017",1427,"Mazzaella laminarioides","Luga","alga","Algae"
"LUGA NEGRA O CRESPA","2017",21260,"Sarcothalia crispata","Black algae luga","alga","Algae"
"LUGA-LUGA","2017",NA,"Mazzaella membranacea","Luga","alga","Algae"
"LUGA-ROJA","2017",20058,"Gigartina skottsbergii","Red luga","alga","Algae"
"PELILLO","2017",64089,"Gracilaria spp.","Red algae gracilaria","alga","Algae"
"SPIRULINA","2017",39,"Spirulina spp.","Spirulina","alga","Algae"
"OTRAS ALGAS","2017",122,"Algaes","Algaes","alga","Algae"
