"species","year","tons","sc_name","en_name","group","en_group"
"PESCADO NO CLASIFICADO","2014",232,"Pescado","Fish","pescado_otros","Fish"
"PUYE","2014",1,"Galaxias maculatus","Common galaxias","pescado_otros","Fish"
"RAYA","2014",24,"Zearaja chilensis","Yellownose skate","raya","Ray"
"REINETA","2014",35975,"Brama australis","Southern rays bream","pescado_otros","Fish"
"REMOREMO","2014",NA,"Elagatis bipinnulata","Rainbow runner","pescado_otros","Fish"
"ROBALO","2014",289,"Eleginops maclovinus","Patagonian blennie","pescado_otros","Fish"
"ROCOCO","2014",2,"Paralonchurus peruanus","Peruvian banded croaker","pescado_otros","Fish"
"ROLLIZO","2014",25,"Pinguipes chilensis","Chilean sandperch","pescado_otros","Fish"
"RONCACHO","2014",121,"Sciaena deliciosa","Lorna drum","pescado_otros","Fish"
"SALMON ARTICO","2014",NA,"Salvelinus alpinus","Arctic char","salmon","Salmon"
"SALMON DEL ATLANTICO","2014",644459,"Salmo salar","Atlantic salmon","salmon","Salmon"
"SALMON PLATEADO","2014",158947,"Oncorhynchus kisutch","Coho salmon","salmon","Salmon"
"SALMON REY","2014",2,"Oncorhynchus tshawytscha","Chinook salmon","salmon","Salmon"
"SARDINA","2014",148,"Strangomera bentincki","Araucanian herring","sardina","Sprat and herring"
"SARDINA AUSTRAL","2014",27230,"Sprattus fuegensis","Falkland sprat","sardina","Sprat and herring"
"SARDINA COMUN","2014",543278,"Strangomera bentincki","Araucanian herring","sardina","Sprat and herring"
"SARGO","2014",17,"Anisotremus scapularis","Peruvian grunt","pescado_otros","Fish"
"SIERRA","2014",2055,"Thyrsites atun","Snoek","tiburon","Shark"
"TOLLO","2014",243,"Mustelus mento","Speckled smooth-hound","tiburon","Shark"
"TOLL0 DE CACHOS","2014",2,"Squalus acanthias","Picked dogfish","tiburon","Shark"
"TOMOYO","2014",NA,"Labrisomus philippii","Chalapo clinid","pescado_otros","Fish"
"TRUCHA ARCOIRIS","2014",151773,"Oncorhynchus mykiss","Rainbow trout","trucha","Trout"
"TURBOT","2014",2,"Scophtalmus maximus","Turbot","pescado_otros","Fish"
"VIDRIOLA, PALOMETA, DORADO O TOREMO","2014",373,"Seriola lalandi","Yellowtail amberjack","pescado_otros","Fish"
"VIEJA O MULATA","2014",8,"Graus nigra","Vieja","pescado_otros","Fish"
"OTROS PESCADOS","2014",71,"Fish","Fish","pescado_otros","Fish"
"ACHA","2015",3,"Medialuna ancietae","Sea Chab","pescado_otros","Fish"
"AGUJILLA","2015",3375,"Scomberesox saurus scombroides","King gar","pescado_otros","Fish"
"ALBACORA","2015",6029,"Xiphias gladius","Swordfish","atunes","Tuna"
"ALFONSINO","2015",NA,"Beryx splendens","Splendid alfonsino","pescado_otros","fish"
"ANCHOVETA","2015",540095,"Engraulis ringens","Anchoveta","pescado_otros","Fish"
"ANCHOVETA BLANCA","2015",NA,"Anchoa nasus","Longnose anchovy","pescado_otros","Fish"
"ANGUILA","2015",49,"Ophichthus spp.","eel","anguila","Eel"
"APANADO","2015",10,"Hemilutjanus macrophthalmos","Grape-eye seabass","pescado_otros","Fish"
"ATUN ALETA AMARILLA","2015",39,"Thunnus albacares","Yellowfin tuna","atunes","Tuna"
"ATUN ALETA LARGA","2015",4,"Thunnus alalunga","Albacore","atunes","Tuna"
"ATUN OJOS GRANDES","2015",9,"Thunnus obesus","Bigeye tuna","atunes","Tuna"
"AYANQUE","2015",NA,"Cynoscion analis","Peruvian weakfish","pescado_otros","Fish"
"AZULEJO","2015",239,"Prionace glauca","Blue shark","tiburon","Shark"
"BACALADILLO O MOTE","2015",26445,"Normanichthys crockeri","Mote sculpin","pescado_otros","Fish"
"BACALAO DE J. FERNANDEZ","2015",5,"Polyprion oxygeneios","Hapuku wreckfish","pescado_otros","Fish"
"BACALAO DE PROFUNDIDAD","2015",3768,"Dissostichus eleginoides","Patagonian toothfish","pescado_otros","Fish"
"BESUGO","2015",NA,"Epigonus crassicaudus","BESUGO","pescado_otros","Fish"
"BLANQUILLO","2015",44,"Prolatilus jugularis","Pacific sandperch","pescado_otros","Fish"
"BONITO","2015",43,"Sarda chiliensis","Eastern Pacific bonito","bonito","Bonito"
"BRECA O BILAGAY","2015",100,"Cheilodactylus variegatus","Peruvian morwong","pescado_otros","Fish"
"BROTULA","2015",703,"Salilota australis","Tadpole codling","pescado_otros","Fish"
"CABALLA","2015",45687,"Scomber japonicus","Chub mackerel","caballa","Caballa"
"CABINZA","2015",27,"Isacia conceptionis","Cabinza grunt","pescado_otros","Fish"
"CABRILLA","2015",509,"Paralabrax humeralis","Peruvian rock seabass","pescado_otros","Fish"
"CACHURRETA","2015",NA,"Katsuwonus pelamis","Skipjack tuna","atunes","Tuna"
"CAZON","2015",NA,"Galeorhinus galeus","Tope shark","tiburon","Shark"
