year,item_sa,value_us,tons,name_sp,sc_name
2015,16052112,701230739.1,963.71003,camaron ecuatoriano,Penaeus vannamei
2015,16052119,275265311.2,415.3631,los demas camarones,NA
2015,16052129,396402.57,0.74865,los demas camarones,NA
2015,16052132,147609,0.096,langostino colorado,Pleuroncodes monodon
2015,16052139,5833,0.048,los demas langostinos,NA
2015,16052159,131625.93,0.31298,los demas decapodos Natantia,NA
2015,16052169,89613.74,0.1848,los demas decapodos Natantia,NA
2015,16052911,22348359,31.24,camaron nailon,Heterocarpus reedi
2015,16052912,988649949.1,1349.86644,camaron ecuatoriano,Panaeus vannamei
2015,16052919,131166919.8,148.03241,los demas camarones,NA
2015,16052929,111446046,128.8,los demas langostinos,NA
2015,16052990,8135507.32,13.01818,"los demas camarones, langostinos y natantia",NA
2015,16054000,7500,0.011,los demas crustaceos,NA
2015,16055100,89355.58,0.48,ostras,NA
2015,16055290,864253,2.21373,"las demas vieiras, volandeiras ","Pecten, Chlamys o Placopecten"
2015,16055300,123685211.8,386.19317,mejillones,NA
2015,16055410,139830,0.2775,jibias,Dosidicus gigas
2015,16055490,18618526.22,34.5146,"las demas jibias",NA
2015,16055500,979786.15,1.71664,pulpos,NA
2015,16055612,3308938,4,almejas,Tawera gayi
2015,16055619,15321801.56,29.992,las demas almejas,NA
2015,16055790,7886690.93,1.7302,los demas abalones y orejas de mar,NA
2015,16055800,33189.9,0.23584,caracoles excepto los de mar,NA
2015,16055939,448368.47,0.54895,los demas caracoles,NA
2015,16055990,2872144.94,15.1736,los demas de los demas moluscos,NA
2015,16056900,14420010.54,21.84086,los demas invertebrados acuaticos,NA
2016,16030000,31462478.06,17.07835,"extracto de pescado, crustaceos moluscos",NA
2016,16041110,29516.7,0.00702,salmon,NA
2016,16041190,25228480.87,49.37255,salmon,NA
2016,16041200,7443379.46,13.3226,arenques,NA
2016,16041311,15252.15,0.00973,sardinas,NA
2016,16041312,22671037.25,93.13875,sardinas,NA
2016,16041319,51183522.49,181.61474,sardinas,NA
2016,16041410,5445798828,14749.52589,atunes,NA
2016,16041420,14244490,45.4512,listados,NA
2016,16041430,226009837,637.0806,bonitos,NA
2016,16041500,245687260.7,1428.86,caballas,NA
2016,16041610,11561040.36,6.39745,anchoas,NA
2016,16041690,2332829,2.79343,anchoas,NA
2016,16041911,1166879123,7760.98076,jurel,NA
2016,16041912,6630.98,0.00083,jurel,NA
2016,16041919,175567028.9,1158.26686,jurel,NA
2016,16041940,44012975,100.748,merluza,NA
2016,16041990,41629108.02,112.65411,los demas pescados,NA
2016,16042010,2713234353,8313.21943,atunes,NA
2016,16042020,30314177,151.06518,bonitos,NA
2016,16042040,597741303.5,3672.97916,sardina y jurel,NA
2016,16042050,10833297.42,74.0587,caballas,NA
2016,16042060,4839739.81,4.24033,anchoas,NA
2016,16042070,37907166.07,123.80188,merluza,NA
2016,16042090,314837249.8,1719.56534,los demas pescados,NA
2016,16043100,1172229,0.08907,caviar,NA
2016,16043200,3752826.35,4,sucedaneos de caviar,NA
2016,16051012,6014572.58,8.00149,jaibas,Cancer spp.
2016,16051019,4813654,25.50908,jaibas,Cancer spp.
2016,16051026,13144158,11.75,centolla del norte,Lithodes spp.
2016,16051090,14407.64,0.00417,los demas cangrejos,NA
2016,16052112,602863283.2,977.6489,camaron ecuatoriano,Penaeus vannamei
2016,16052119,118091076.4,194.60149,los demas camarones,NA
2016,16052122,12814448.86,23.00045,camaron ecuatoriano,Penaeus vannamei
2016,16052129,24783.63,0.19599,los demas camarones,NA
2016,16052132,4674102,5.424,langostino colorado,Pleuroncodes monodon
2016,16052139,107.06,0.002,los demas langostinos,NA
2016,16052159,215170.02,0.49896,los demas decapodos Natantia,NA
2016,16052911,28492424,20,camaron nailon,Heterocarpus reedi
2016,16052912,1195649933,1727.35935,camaron ecuatoriano,Panaeus vannamei
2016,16052919,350003344.6,413.83135,los demas camarones,NA
2016,16052929,11597404,19.38,los demas langostinos,NA
2016,16052990,18280000,30,"los demas camarones, langostinos y natantia",NA
2016,16054000,134185,0.2075,los demas crustaceos,NA
2016,16055210,1724835.04,1.79523,ostiones,"Argopecten purpuratus, Chlamys patagonica"
2016,16055290,207.12,0.00362,"las demas vieiras, volandeiras ","Pecten, Chlamys o Placopecten"
2016,16055300,NA,243.06494,mejillones,NA
2016,16055410,12632247.8,45.6078,jibias,Dosidicus gigas
2016,16055490,10739319.74,24.39261,"las demas jibias",NA
2016,16055500,120396.12,0.36781,pulpos,NA
2016,16055619,488174.43,1.1985,las demas almejas,NA
2016,16055710,3009626,0.7776,abalon japones,Haliotis discus hannai
2016,16055790,931572,0.2376,los demas abalones y orejas de mar,NA
2016,16055920,15148468,7.20204,locos,Concholepas concholepas
2016,16055939,735484.84,0.82242,los demas caracoles,NA
2016,16055950,20613724,33.048,navajuelas,Tagelus dombeii
2016,16055960,1711626,1.6932,navajas de mar,Ensis macha
2016,16055990,10112201.12,46.328,los demas de los demas moluscos,NA
2016,16056300,10425.25,0.07996,meduzas,NA
2016,16056900,8028624.28,12.15969,los demas invertebrados acuaticos,NA
2017,16030000,268906.79,14.37618,"extracto de pescado, crustaceos moluscos",NA
2017,16041190,320245.84,41.93204,salmon,NA
2017,16041200,57894.75,8.77321,arenques,NA
2017,16041311,454.9,1.22567,sardinas,NA
2017,16041312,201010.69,82.86787,sardinas,NA
2017,16041319,846947.33,273.12651,sardinas,NA
2017,16041390,41321.4,18.6558,sardinelas y espadines,NA
2017,16041410,78600070.23,19412.27743,atunes,NA
2017,16041420,617205.82,163.41365,listados,NA
2017,16041430,3559581.92,953.40801,bonitos,NA
2017,16041500,3010479.41,1967.65248,caballas,NA
2017,16041610,123586.53,6.48062,anchoas,NA
2017,16041690,18208.99,2.0054,anchoas,NA
2017,16041700,7857.8,0.56,anguilas,NA
2017,16041911,12949364.24,8672.92246,jurel,NA
2017,16041919,1080991.1,763.37179,jurel,NA
2017,16041920,476.67,0.215,congrio,NA
2017,16041930,68.12,0.001,trucha,NA
2017,16041940,373184.72,99.45,merluza,NA
2017,16041990,895127.81,231.2728,los demas pescados,NA
2017,16042010,44135856.26,13011.75274,atunes,NA
2017,16042020,1605609.12,768.37824,bonitos,NA
2017,16042030,672,0.1242,salmon,NA
2017,16042040,2867617.45,1959.11022,sardina y jurel,NA
2017,16042050,238763.24,165.44442,caballas,NA
2017,16042060,546.15,0.02212,anchoas,NA
2017,16042070,401602.49,211.08637,merluza,NA
2017,16042090,2063698.2,1063.97213,los demas pescados,NA
2017,16043100,29148.71,0.20629,caviar,NA
2017,16043200,15009.25,2,sucedaneos de caviar,NA
2017,16051011,447.86,0.01632,jaibas,Cancer spp.
2017,16051019,148548.65,88.01,jaibas,Cancer spp.
2017,16051022,640125.69,19.74984,centolla,Lithodes santolla
2017,16052112,7708244.82,1149.03205,camaron ecuatoriano,Penaeus vannamei
2017,16052113,1958.67,0.681,camaron de rio,Cryphiops caementarius
2017,16052119,1549505.53,239.10604,los demas camarones,NA
2017,16052129,75600,14,los demas camarones,NA
2017,16052139,175.54,0.002,los demas langostinos,NA
2017,16052159,3678.09,0.80514,los demas decapodos Natantia,NA
2017,16052911,515758.02,40.8,camaron nailon,Heterocarpus reedi
2017,16052912,14512137.63,1956.69285,camaron ecuatoriano,Panaeus vannamei
2017,16052919,1468073.87,158.3257,los demas camarones,NA
2017,16052990,177859.5,28.97,"los demas camarones, langostinos y natantia",NA
2017,16054000,482.91,0.01,los demas crustaceos,NA
2017,16055210,1864.02,0.1918,ostiones,"Argopecten purpuratus, Chlamys patagonica"
2017,16055300,1370170.11,421.2252,mejillones,NA
2017,16055490,482424.17,68.17978,"las demas jibias",NA
2017,16055500,2392.58,0.059,pulpos,NA
2017,16055619,75622.31,34.76,las demas almejas,NA
2017,16055939,379628.38,37.59738,los demas caracoles,NA
2017,16055990,164421.23,42.50229,los demas de los demas moluscos,NA
2017,16056900,192029.6,24.25448,los demas invertebrados acuaticos,NA
2018,16030000,15765562,16.47878,"extracto de pescado, crustaceos moluscos",NA
2018,16041190,171402,22,salmon,NA
2018,16041200,4503551.95,8.2588,arenques,NA
2018,16041312,22569804.53,84.41315,sardinas,NA
2018,16041319,73991086.42,268.9404307,sardinas,NA
2018,16041390,238336,0.174,sardinelas y espadines,NA
2018,16041410,3833370584,10362.02365,atunes,NA
2018,16041420,32149636,79.2937,listados,NA
2018,16041430,147443402,394.5774,bonitos,NA
2018,16041500,125714175.8,869.7304539,caballas,NA
2018,16041610,7476977.79,5.0388729,anchoas,NA
2018,16041690,26468.87,0.001,anchoas,NA
2018,16041911,550409633,3954.702462,jurel,NA
2018,16041919,62912525.26,356.184425,jurel,NA
2018,16041940,19453222,50.1,merluza,NA
2018,16041990,36405119.45,112.927366,los demas pescados,NA
2018,16042010,3100082145,8301.613624,atunes,NA
2018,16042020,142130.69,0.04036,bonitos,NA
2018,16042030,3574.58,0.0314008,salmon,NA
2018,16042040,60191296.7,536.69537,sardina y jurel,NA
2018,16042050,5364046.47,51.6266,caballas,NA
2018,16042060,138832,0.01926,anchoas,NA
2018,16042070,24002429,106.77116,merluza,NA
2018,16042090,104916446.7,783.8582179,los demas pescados,NA
2018,16043100,474600,7.11648,caviar,NA
2018,16051012,3643976,22,jaibas,Cancer spp.
2018,16051019,14193143.56,87.9205,jaibas,Cancer spp.
2018,16051022,6650627,1.8012,centolla,Lithodes santolla
2018,16052112,233831966,635.14,camaron ecuatoriano,Penaeus vannamei
2018,16052119,168913789.4,305.125107,los demas camarones,NA
2018,16052129,230140.3,40.00032,los demas camarones,NA
2018,16052139,225289,0.192,los demas langostinos,NA
2018,16052912,658635289.2,1094.3618,camaron ecuatoriano,Panaeus vannamei
2018,16052919,81883700.82,215.1671,los demas camarones,NA
2018,16055300,NA,349.80353,mejillones,NA
2018,16055490,13516874.08,39.4885084,"las demas jibias",NA
2018,16055500,500455.55,0.33715,pulpos,NA
2018,16055612,63116,0.048,almejas,Tawera gayi
2018,16055619,6891692,30.68708,las demas almejas,NA
2018,16055800,45607,0.048,caracoles excepto los de mar,NA
2018,16055939,648824.33,0.914423,los demas caracoles,NA
2018,16055950,20436762,22.3776,navajuelas,Tagelus dombeii
2018,16055990,24948572,85.496,los demas de los demas moluscos,NA
2018,16056200,7047.03,0.0036,erizos de mar,NA
2018,16056900,6957770.97,6.1869465,los demas invertebrados acuaticos,NA
